category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,url,source,scraped_date
"Home, Furniture & Appliances",High Quality 7 Speeds Hand Mixer - 280W,120.0,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz","Verified ID, 5+ years on Jiji",Easy to use hand held mixer at the comfort of your home. Make your cooking an effortless creative...,False,https://jiji.com.gh/lapaz/kitchen-appliances/high-quality-7-speeds-hand-mixer-280w-nvYHFW5LVRCprDvVy0oHryhM.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Innova 3in1 Blender Is Food Processor,375.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,The Innova 3-In-1 Blender is a multifunctional kitchen appliance that combines the functionalities...,False,https://jiji.com.gh/accra-metropolitan/kitchen-appliances/innova-3in1-blender-is-food-processor-8cWNqzJGFWDrCJZWp6uDL5Eu.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Electric Cordless Mower/ Double Batteries,650.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,This cordless mower has 2 batteries and 2 each blade it wheel that help the blade to last long.very...,False,https://jiji.com.gh/accra-metropolitan/garden/electric-cordless-mower-double-batteries-3VW7LHuH0YM9IOBMgOTmTkLT.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Small Fridge,750.0,Used,Greater Accra,Ga East Municipal,"Greater Accra, Ga East Municipal","Verified ID, 5+ years on Jiji",Small beko brand refrigerator. Used but still looking good. No faults. Reduced to clear,False,https://jiji.com.gh/ga-east-municipal/kitchen-appliances/small-fridge-z2IxtZprTqGauRTCFQL34a2J.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",12kg Automatic Washing Machine Asano,4900.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,12kg washing capacity. Wash & spin. Takes more clothes than the average machine. Very effective...,False,https://jiji.com.gh/accra-metropolitan/home-appliances/12kg-automatic-washing-machine-asano-ljCJJ7PtYjF26jTBwaavTijI.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Electric Height Adjustable Desk,3500.0,Brand New,Greater Accra,East Legon,"Greater Accra, East Legon",,"Sit-stand desk
Dimension: 160cm X 60cm X 70cm
Payment after installation 
Contact for more details",False,https://jiji.com.gh/east-legon/furniture/electric-height-adjustable-desk-BKF3EH212n8E6vKMzjNdDrgR.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",600x600 Square Led Backlit Panel (40w),342.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","Ideal For:
Corporate Offices: Create a bright, professional atmosphere that boosts employee focus...",False,https://jiji.com.gh/accra-metropolitan/lighting/600x600-square-led-backlit-panel-40w-yXIEAu9PkLBISUJTHhl0noaM.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Bar Butler ( 6 Shots Dispenser),550.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,This 6 shot dispenser bar butler can be used to dispense liquor in a neat and elegant way and...,False,https://jiji.com.gh/accra-metropolitan/kitchen-and-dining/bar-butler-6-shots-dispenser-cTUuLBist9VyTyqgTgbtp13s.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Rope Light(Rgb),750.0,,Greater Accra,Darkuman,"Greater Accra, Darkuman",5+ years on Jiji,"Rope light with 16+colors(RGB).
supports remote control.
Up to 50m long,10mm wide.",False,https://jiji.com.gh/darkuman/lighting/rope-light-rgb-z3P9z0lsAhUnLLc6WGytDj4r.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Homii H950 Wireless Telephones,450.0,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka","Verified ID, 5+ years on Jiji","Technology: GSM850/900/1800/1900
Battery: 2500mAh Battery 
SIM: 2 SIM 
Features: Super Torch/5W...",False,https://jiji.com.gh/adabraka/home-appliances/homii-h950-wireless-telephones-smgrQMYt6mFYCtxNmyav2J2c.html,Jiji Ghana (jiji.com.gh),2026-04-20
