category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,url,source,scraped_date
Commercial Equipment & Tools,Soft Cervical Collar,50.0,,Greater Accra,Cantonments,"Greater Accra, Cantonments","Verified ID, 5+ years on Jiji","Soft cervical collar available in small, medium and large",False,https://jiji.com.gh/cantonments/medical-equipment/soft-cervical-collar-iEg2mHElSbvLo3Xohm21WcjC.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Straight Overall,200.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","The Reflective Overall is designed to keep you visible from all angles, thanks to its strategically...",False,https://jiji.com.gh/accra-metropolitan/safety-equipment/straight-overall-pil9ImFhM5vRpewENKN4RknW.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Zema Fram or Walker,350.0,,Greater Accra,Korle Gonno,"Greater Accra, Korle Gonno",,Walker is use fir tge patient who can nit wor or the ages,False,https://jiji.com.gh/korle-gonno/medical-equipment/zema-fram-or-walker-3vw9QeSd6eKsYK0v6sQ2uXhH.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Corn Mill Machine,13000.0,,Central Region,Awutu Senya East Municipal,"Central Region, Awutu Senya East Municipal","Verified ID, 5+ years on Jiji",Powerful corn grinding machine of all kinds being electric or man power is available and affordable...,True,https://jiji.com.gh/awutu-senya/manufacturing-equipments/corn-mill-machine-eJzfBz5VuiDQemVVj9I8VV2K.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Stethoscope Dual Head,30.0,,Greater Accra,Korle Gonno,"Greater Accra, Korle Gonno",,"Dual Head. Dual head stethoscopes offer two heads, one on each side of the chest piece. The larger...",False,https://jiji.com.gh/korle-gonno/medical-equipment/stethoscope-dual-head-2w77G81AFCuoy8975VI6WNjK.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Large Format Printers for Sale,38500.0,,Greater Accra,Kaneshie,"Greater Accra, Kaneshie",5+ years on Jiji,"Size: 6 Feet
Brand: Yinghe
Model: 1800 series 
Number of heads: 1 (Single)
Head type: xp600 
2 speed...",True,https://jiji.com.gh/kaneshie/printing-equipment/large-format-printers-for-sale-kSpOd80u46fLeCZGjEUSXgbZ.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Petri Dish Glass,30.0,,Greater Accra,Mamprobi,"Greater Accra, Mamprobi",,"Petri dishes are shallow, cylindrical glass or plastic dishes used primarily for cultivating...",False,https://jiji.com.gh/mamprobi/medical-equipment/petri-dish-glass-2JyK1DIiIlAsfGLZeYiR29OP.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Theraband/Resistance Band,75.0,,Greater Accra,Korle Gonno,"Greater Accra, Korle Gonno",Verified ID,"Theraband are essential for building strength in any area of the body - feet, legs, arms, back,...",False,https://jiji.com.gh/korle-gonno/medical-equipment/theraband-resistance-band-yL5AHCaAiMBx9mgnUNGAyoHT.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Digital Blood Pressure Monitor Sphygmomanometer Bp Machine,180.0,,Greater Accra,Kwashieman,"Greater Accra, Kwashieman",5+ years on Jiji,"Please call or WhatsApp for fast delivery. Brand new in the box. Original and authentic product.
It...",False,https://jiji.com.gh/kwashieman/medical-equipment/digital-blood-pressure-monitor-sphygmomanometer-bp-machine-hiA0Ke63u9Ddlo5M7dxJMotD.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Caution Tape,80.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Caution tape, also known as barricade or hazard tape, is a brightly colored tape, often yellow with...",False,https://jiji.com.gh/accra-metropolitan/safety-equipment/caution-tape-f0P70THZLQMUtCIt7aQcVKoo.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Compression Stockings,200.0,,Greater Accra,Mamprobi,"Greater Accra, Mamprobi",,"Compression stockings are snug, elastic socks that gently squeeze your legs to improve blood flow,...",False,https://jiji.com.gh/mamprobi/medical-equipment/compression-stockings-oX0eJyKAbdlDrxJfjlh5eqJG.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Zimmer Frame With Wheels,350.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,Zimmer frame with wheels to maintain balance or stability whiles walking,False,https://jiji.com.gh/accra-metropolitan/medical-equipment/zimmer-frame-with-wheels-l9729jYkN8vamGuwwrADCfNp.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Medical Compression Stockings,120.0,,Greater Accra,Korle Gonno,"Greater Accra, Korle Gonno",,Compression stockings gently squeeze your legs to move blood up your legs. This helps prevent leg...,False,https://jiji.com.gh/korle-gonno/medical-equipment/medical-compression-stockings-mO470Ho0mMudnCXrvvaDwExc.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Raincoat With Reflector,110.0,,Greater Accra,Kaneshie,"Greater Accra, Kaneshie","Verified ID, 5+ years on Jiji","This very rain is durable, quality and good looking. It is designed with reflectors badge in it for...",False,https://jiji.com.gh/kaneshie/safety-equipment/raincoat-with-reflector-6E2l5aajomPnwfwwb1AqewAp.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Wrist Support,120.0,,Greater Accra,Mamprobi,"Greater Accra, Mamprobi",,"Wrist support is used to provide stability, reduce pain and inflammation, and aid in the recovery of...",False,https://jiji.com.gh/mamprobi/medical-equipment/wrist-support-yLrsIzf6q5mLWFDNXhdZnAlb.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Adjustable Arm Sling,120.0,,Greater Accra,Korle Gonno,"Greater Accra, Korle Gonno",Verified ID,"Arm slings restrict movement of the injured arm, promoting healing by reducing strain on the...",False,https://jiji.com.gh/korle-gonno/medical-equipment/adjustable-arm-sling-zD9GtCYld7N3RGEw0zf4SPH3.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Large Automatic Popcorn Machine (Foreign),2650.0,Brand New,Greater Accra,Mataheko,"Greater Accra, Mataheko","Verified ID, 5+ years on Jiji","High grade Imported electric popcorn machine. Durability assured.
Dimensions 58x43.5x76cm
Voltage...",False,https://jiji.com.gh/mataheko/restaurant-and-catering-equipment/large-automatic-popcorn-machine-foreign-rzryBqSiPIrNJFqpc9jRcomM.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,HUK Air Wedge Door Opening Kit For Locksmiths,200.0,,Greater Accra,Avenor Area,"Greater Accra, Avenor Area",5+ years on Jiji,"High Quality HUK Air Wedge for door opening. 

NB:This item is ONLY sold to qualified locksmiths.",False,https://jiji.com.gh/avenor-area/safety-equipment/huk-air-wedge-door-opening-kit-for-locksmiths-zibls5zPaIzore1KY1DrsUI8.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Sharwama Machine,3200.0,Brand New,Greater Accra,Ga West Municipal,"Greater Accra, Ga West Municipal",,Brand new mini shawarma machine. I bought it but I don’t want to use it again that’s why I am...,False,https://jiji.com.gh/ga-west-municipal/restaurant-and-catering-equipment/sharwama-machine-ps4ipnRkTtTbQVON63fCDH9M.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Height Meter,100.0,,Greater Accra,Mamprobi,"Greater Accra, Mamprobi",,"A height meter which is also known as a stadiometer, is a tool used to measure a person's height",False,https://jiji.com.gh/mamprobi/medical-equipment/height-meter-d6OUasO6I4gh2Vc7LqbOvXKe.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Alphamed Blood Pressure Monitor Bp Sphygmomanometer Machine,300.0,,Greater Accra,Kwashieman,"Greater Accra, Kwashieman",5+ years on Jiji,"Please call or whatsapp for fast delivery.
Brand new in box. Original and authentic product. It is...",False,https://jiji.com.gh/kwashieman/medical-equipment/alphamed-blood-pressure-monitor-bp-sphygmomanometer-machine-pgpb1XJ0a5AVyYdB9hFV5Nhn.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,SL200 A4 Laminating Machine,380.0,,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5+ years on Jiji",Sl200 a4 hot and cold laminating machine document photo paper cards picture painting laminator for...,False,https://jiji.com.gh/achimota/printing-equipment/sl200-a4-laminating-machine-66voNROd7GsIi3LoJOGqapvx.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,2x1.5mm Fire Cable,1150.0,,Greater Accra,Kaneshie,"Greater Accra, Kaneshie",Verified ID,"This is a fire alarm cable, which is a specialized type of cable used in fire Alarm system.
It is...",False,https://jiji.com.gh/kaneshie/safety-equipment/2x1-5mm-fire-cable-mlEt5La2VEUn0jCyGz300Hib.html,Jiji Ghana (jiji.com.gh),2026-04-20
