Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
"Home, Furniture & Appliances",Smartairfryer 1500w Cooking Visible Smart Air Fryer,740.0,GH₵ 740,Brand New,Greater Accra,Dansoman,"Greater Accra, Dansoman","Verified ID, 5+ years on Jiji","Oraimo Smart Air Fryer 
• Size: 5 liters (good for family meals)
• Power: 1500 watts (fast...",https://jiji.com.gh/dansoman/kitchen-appliances/smartairfryer-1500w-cooking-visible-smart-air-fryer-soKWPJMBsXh5FIOLc9dUeh2I.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Modern Pendant Lights / Chandelier Lights,600.0,GH₵ 600,,Greater Accra,Ofankor,"Greater Accra, Ofankor","Verified ID, 3+ years on Jiji",Modern pendant lights is available,https://jiji.com.gh/ofankor/lighting/modern-pendant-lights-chandelier-lights-hyC9SyW5mRNerdpx4GabJVuG.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Spot Light Double Recessed,69.0,GH₵ 69,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",3+ years on Jiji,"It's double heads recessed Led ceiling square, down light and adjustable spot lights",https://jiji.com.gh/accra-metropolitan/lighting/spot-light-double-recessed-wmWK0y30Wtv3r8vnwvLsxuTz.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",On God (Free Delivery)Payment on Delivery Accra,6599.0,"GH₵ 6,599",Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",Verified ID,Quality furniture company in Ghana,https://jiji.com.gh/achimota/furniture/on-god-free-delivery-payment-on-delivery-accra-mdarI2RIo6sRYEL93d8T63bM.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Royalstar Double Door Chest Freezer at Promiseland Katamanso Ashaiman,3000.0,"GH₵ 3,000",Used,Greater Accra,Ashaiman Municipal,"Greater Accra, Ashaiman Municipal",Verified ID,"Royalstar Double Door Chest freezer, in a very good condition and used neatly... Working perfectly...",https://jiji.com.gh/ashaiman-municipal/kitchen-appliances/royalstar-double-door-chest-freezer-at-promiseland-katamanso-ashaiman-BGj6KsUTviyrmsOkzdDOS4rF.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Mini Fufu Mortar And Pestle,150.0,GH₵ 150,,Greater Accra,Kaneshie,"Greater Accra, Kaneshie","Verified ID, 5+ years on Jiji","Cute and quality wood.
Smoothening your fufu after milling or you can pound fufu from scratch.",https://jiji.com.gh/kaneshie/kitchen-and-dining/mini-fufu-mortar-and-pestle-pBpAS2mEUynpSvHtH56pSwKG.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Icona Heat Food World Icona 20l Microwave,999.0,GH₵ 999,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Quality and Affordable prices with one year warranty assured,https://jiji.com.gh/accra-metropolitan/kitchen-appliances/icona-heat-food-world-icona-20l-microwave-6iOQ9hgx62FMEsSXOh6DtgTD.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Solar Wall Light – Decorative Outdoor Led Lamp,35.0,GH₵ 35,,Greater Accra,Adenta,"Greater Accra, Adenta","Verified ID, 3+ years on Jiji",Solar Wall Light – Decorative Outdoor LED Lamp Brighten your outdoors while saving energy with this...,https://jiji.com.gh/adenta-municipal/lighting/solar-wall-light-decorative-outdoor-led-lamp-6wDyoAfkBQXsa5C1z18m0NOx.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",2 Stars Fridge by Nasco 158 Litres,2199.0,"GH₵ 2,199",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Verified ID, 5+ years on Jiji","Capacity: 153litres
Brand : Nasco
Top freezr
Warranty: 12months",https://jiji.com.gh/abossey-okai/kitchen-appliances/2-stars-fridge-by-nasco-158-litres-yKCPqcKVfGaDenofOW2dn7W7.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Calex Smary Multi Color Mood Light,550.0,GH₵ 550,,Greater Accra,Oyarifa,"Greater Accra, Oyarifa",,"Calex Smart Multi-Color Mood Light — A smart LED mood lamp with multi-color settings, app control,...",https://jiji.com.gh/oyarifa/lighting/calex-smary-multi-color-mood-light-oSIhZr2I40J5uQ0JPbQkjzW.html,Jiji Ghana (jiji.com.gh),2026-05-11
