Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Commercial Equipment & Tools,White Board 600mmx450,120.0,GH₵ 120,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,White board mounted on wall,https://jiji.com.gh/accra-metropolitan/stationery/white-board-600mmx450-2JGg5SCeSnfTbEfZYXmHAyLB.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Sinocare Glucose Machine/Meter and Strips at Wholesale Price,100.0,GH₵ 100,,Greater Accra,Weija,"Greater Accra, Weija",Verified ID,"High accuracy blood glucose machine/meter and Strips available at a wholesale prices.
Strips= 50...",https://jiji.com.gh/weija/medical-equipment/sinocare-glucose-machine-meter-and-strips-at-wholesale-price-iGyzMz5g3k4BxkIMTF1Qdeum.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Casio Fx-991es Plus Calculator,100.0,GH₵ 100,Bulk prices,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",Verified ID,Our Casio scientific calculator is a fx-991ES type with quality display and easy use.,https://jiji.com.gh/ablekuma/stationery/casio-fx-991es-plus-calculator-3csM29ca6v6LvqS2B11lwPsL.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,We Product Quality Electric Block Mould Machines,13000.0,"GH₵ 13,000",,Greater Accra,Ningo-Prampram,"Greater Accra, Ningo-Prampram",Verified ID,WElectric block mould machines,https://jiji.com.gh/ningo-prampram/manufacturing-equipments/we-product-quality-electric-block-mould-machines-5i3PeNrZ7gQ2yweFBitVZosw.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,The All Effective Bed Of Body Massage,380.0,GH₵ 380,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,Complete body massage,https://jiji.com.gh/accra-metropolitan/salon-equipment/the-all-effective-bed-of-body-massage-8SeKNcfQMQtgYMsfoDYqmK1R.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Salon Wall Mount Hair Steamer,1950.0,"GH₵ 1,950",Bulk prices,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",3+ years on Jiji,Salon Wall Mount Hair Steamer,https://jiji.com.gh/accra-metropolitan/salon-equipment/salon-wall-mount-hair-steamer-uatE5hFMJ99X3MDDpMxb7hVy.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Steel Toe Safety Sneaker,350.0,GH₵ 350,Bulk prices,Greater Accra,Achimota,"Greater Accra, Achimota",Verified ID,Safety sneakers for both ladies and gents at an affordable prices.,https://jiji.com.gh/achimota/safety-equipment/steel-toe-safety-sneaker-8aqHSloXdJKyYHyxxBIdq0qw.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Barbering and Salon Chair,2300.0,"GH₵ 2,300",,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",Verified ID,High quality product for all barbers and salons,https://jiji.com.gh/kumasi-metropolitan/salon-equipment/barbering-and-salon-chair-7ZLrINqqbAdcRiF9XntNLYS1.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Rely +Perasafe,1200.0,"GH₵ 1,200",,Greater Accra,Korle Gonno,"Greater Accra, Korle Gonno",,"Rely+OnTM PeraSafeTM, with its optimised corrosion inhibitor system and near neutral pH, is a...",https://jiji.com.gh/korle-gonno/medical-equipment/rely-perasafe-cqAYfyatHIgOpPlIFl9S9K32.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Long Stapler Kangaro Ds457,200.0,GH₵ 200,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Used in stapling books in the centre,https://jiji.com.gh/accra-metropolitan/stationery/long-stapler-kangaro-ds457-7JPi89tue0nWZisSewn9YtN5.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Chips Maker or Pasta Machine 150mm,220.0,GH₵ 220,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",This is a machine with three different sizes for cutting chios or pasta to the desirable size.,https://jiji.com.gh/accra-metropolitan/restaurant-and-catering-equipment/chips-maker-or-pasta-machine-150mm-umsmKNJDlN9tDBYPaUJ0CUop.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Unisex Anatomy Dummy/Nurse's Training Doll,7000.0,"GH₵ 7,000",,Greater Accra,Mamprobi,"Greater Accra, Mamprobi",,"It is used in training Medical students in human anatomy. It is unisex in design, and carries many...",https://jiji.com.gh/mamprobi/medical-equipment/unisex-anatomy-dummy-nurses-training-doll-C3WFmDfa30aZ09Yi3F5jfxfF.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,"Led Screen / Stage Light Sound, Sales, Rental Installations",1000.0,"GH₵ 1,000",,Greater Accra,North Industrial Area,"Greater Accra, North Industrial Area",3+ years on Jiji,"Sales & rentals of high quality led screens, poster led, stage light, speakers, trusses, event...",https://jiji.com.gh/north-industrial-area/stage-lighting-and-effects/led-screen-stage-light-sound-sales-rental-installations-33LOZqyL4rQGRKXptLGumyvB.html,Jiji Ghana (jiji.com.gh),2026-05-11
