Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Electronics,Monitors Available For Sale,170.0,GH₵ 170,Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Clean Monitors – massive stock clearance! 
upgrade your office, gaming rig, or cctv setup with...",https://jiji.com.gh/accra-metropolitan/computer-monitors/monitors-available-for-sale-wRsvVqLOtsR5lrJX6e6ZIwrr.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Hikvision CCTV 2mp Surveillance Bullet Camera,110.0,GH₵ 110,,Greater Accra,Weija,"Greater Accra, Weija",,Wholesale/Clearance price for 2mp Hikvision bullet Surveillance Camera . 2mp dome & 3k camera and...,https://jiji.com.gh/weija/security-and-surveillance/hikvision-cctv-2mp-surveillance-bullet-camera-5aOl59cBu3BBgMdvjPpwhr5H.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,D-Link FTP Indoor Cat 6 Cable 305m,2300.0,"GH₵ 2,300",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Verified ID, 5+ years on Jiji",D-Link FTP indoor cat 6 cable 23awg pure copper country of origin is India,https://jiji.com.gh/abossey-okai/computer-accessories/d-link-ftp-indoor-cat-6-cable-305m-wPf5A6YMOLh1MeZgpXURUI4Q.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,All Types of Laptops Screens,400.0,GH₵ 400,Brand New,Greater Accra,Circle,"Greater Accra, Circle",3+ years on Jiji,All types of laptop screens,https://jiji.com.gh/circle/computer-accessories/all-types-of-laptops-screens-Mr8euwo0JliYujjJBMVCJQz.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Hp Typ C Charger,350.0,GH₵ 350,Brand New,Greater Accra,Circle,"Greater Accra, Circle",,Hp type C Charger available for any HP Laptop,https://jiji.com.gh/circle/computer-accessories/hp-typ-c-charger-wRekfA5cejz0jDY248DXIQKW.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,"Console Cable, Usb to Rj45",150.0,GH₵ 150,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Console cable :6ft-usb-rs232-rj45 console cable .it’s used for debugging and configuring network...,https://jiji.com.gh/circle/computer-accessories/console-cable-usb-to-rj45-nGkAv8bsXKyJZ7sUGl9KbN41.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,"Brother Hl-L5100dn Mono Laser Printer - Single Function, Usb 2.0",2500.0,"GH₵ 2,500","Laser Printer, Used",Greater Accra,Madina,"Greater Accra, Madina",5+ years on Jiji,"Connectivity technology
usb, lan
printing technology
laser
special feature
auto-duplex ,...",https://jiji.com.gh/madina/printers-and-scanners/brother-hl-l5100dn-mono-laser-printer-single-function-usb-2-0-BJGhXsRf2p2sediIiKxRxHjd.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,12v65ah Battery 12V 65AH 10hrs,1380.0,"GH₵ 1,380",Brand New,Greater Accra,Tesano,"Greater Accra, Tesano",,12V 65AH Sealed Lead Acid Battery,https://jiji.com.gh/tesano/computer-hardware/12v65ah-battery-12v-65ah-10hrs-v9XbUAIADOLfpaWeYiMdrWcD.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,RGB Cooling Fans,100.0,GH₵ 100,Brand New,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Verified ID, 5+ years on Jiji",Brand new rgb cooling fans very neat and durable,https://jiji.com.gh/kumasi-metropolitan/computer-hardware/rgb-cooling-fans-wmBl0MgU71MbfwWdUPsRhD0J.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Ps4 Games Fifa 23 Call of Duty Etc,180.0,GH₵ 180,"Shooter, Brand New",Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 5+ years on Jiji","Four for 700 cedis all for 1,200 cedis",https://jiji.com.gh/tema-metropolitan/videogames/ps4-games-fifa-23-call-of-duty-etc-1JgOnsgp60LcXwWx9ips6P4j.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Logitech C270 HD Webcam,350.0,GH₵ 350,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 3+ years on Jiji","HD 720p video calling and HD video recording, 2.4 GigaHertz Intel Core2 Duo, 2 GB RAM,200 MB hard...",https://jiji.com.gh/circle/computer-accessories/logitech-c270-hd-webcam-5a3PkauoJJhLhLecPEmZjUOE.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,EA Sports FC 24 Account for PC,60.0,GH₵ 60,"Role Playing, Brand New",Greater Accra,Lapaz,"Greater Accra, Lapaz","Verified ID, 5+ years on Jiji","The new and enhanced Career Mode offers a more profound, more immersive experience. Choose to manage...",https://jiji.com.gh/lapaz/videogames/ea-sports-fc-24-account-for-pc-twQsiRNENvlZ1Q8Gnvio4axC.html,Jiji Ghana (jiji.com.gh),2026-04-20
