Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
Electronics,Samsung B550 Sound Bar With Wireless Subwoofer(Black),3799.0,"GH₵ 3,799",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka","2.1-Channel Configuration
Up to 410W of Total Power
Dolby & DTS 2-Channel / DTS Virtual:X
Bluetooth...",https://jiji.com.gh/adabraka/audio-and-music-equipment/samsung-b550-sound-bar-with-wireless-subwoofer-black-fTRV3hE1hIAFxVQiKcJgGfPL.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,"Canon XA25: Power, Professional Workflow",19500.0,"GH₵ 19,500",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",The Canon XA25 is a professional camcorder that delivers stunning 4K video quality and seamless...,https://jiji.com.gh/adabraka/cameras-video-cameras-and-accessories/canon-xa25-power-professional-workflow-a3LlAFDr6f5BszoqKtNqVnAL.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Upgrade Your TV’S Sound With the Brand New TCL 200w 1.2ch,1400.0,"GH₵ 1,400",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",The TCL 200W Soundbar is a powerful and stylish addition to your home theater setup. With its...,https://jiji.com.gh/adabraka/audio-and-music-equipment/upgrade-your-tvs-sound-with-the-brand-new-tcl-200w-1-2ch-hiI5gNfdQxP0etQoRzeUxo2D.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Nice Playstation 4 Slim Machine With 8 Games at Cool Price,2800.0,"GH₵ 2,800",Used,Greater Accra,Banana Inn,"Greater Accra, Banana Inn",Selling a home-used Sony PS4 Slim with 500GB storage. Fully tested and comes with one controllers...,https://jiji.com.gh/banana-inn/video-games-and-consoles/nice-playstation-4-slim-machine-with-8-games-at-cool-price-dYE0AGFBOA6fE0rY0b6bkWcg.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Apple Magic Mouse 2 (Rechargeable),650.0,GH₵ 650,Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Apple Magic Mouse 2 Rechargeable,https://jiji.com.gh/accra-metropolitan/computer-accessories/apple-magic-mouse-2-rechargeable-l0r3ai7rbyqucBUBlJ9GMRlO.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,M2-Tec Universal Automatic Charger for Laptop (V-4955),250.0,GH₵ 250,Brand New,Greater Accra,Accra New Town,"Greater Accra, Accra New Town","In-Car Charger Power Supply for Laptop 120 W 220 V 12 V Compatible with: IBM ASUS Toshiba Dell Acer,...",https://jiji.com.gh/accra-new-town/computer-accessories/m2-tec-universal-automatic-charger-for-laptop-v-4955-zLu3oQ4DyalWPxvYcIzxsc7r.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Usb Keyboard and Mouse With Background Light,150.0,GH₵ 150,Brand New,Greater Accra,Circle,"Greater Accra, Circle",USB keyboard and mouse with background light that gives you the beautiful colour of RGB light on the...,https://jiji.com.gh/circle/computer-accessories/usb-keyboard-and-mouse-with-background-light-pzkwTv3DaFXp4nIZFXOWLwHK.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,"2 in 1 Lapel Lavalierwireless Microphone for Type C, iPhone and 3.5mm",355.0,GH₵ 355,Brand New,Greater Accra,Lartebiokorshie,"Greater Accra, Lartebiokorshie","Key Features of the F11-2 Wireless Microphone
Dual Transmitter System: The system includes two...",https://jiji.com.gh/lartebiokorshie/audio-and-music-equipment/2-in-1-lapel-lavalierwireless-microphone-for-type-c-iphone-and-3-5mm-7r7fwUbTXGRyLq1h2U7lWFXv.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Hp Toner 207a Original,1000.0,"GH₵ 1,000",,Greater Accra,Adabraka,"Greater Accra, Adabraka",Hp 207a 1 set original toner | black w2210a | cyan w2211a | yellow w2212a | magenta w2213a full set...,https://jiji.com.gh/adabraka/accessories-and-supplies-for-electronics/hp-toner-207a-original-VYuFtJg5KfFZjQtsTm67YG9.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,2 Active Ceiling Speakers With RGB Light 2.5inch Full Range Speakers,890.0,GH₵ 890,Brand New,Greater Accra,Taifa-Burkina,"Greater Accra, Taifa-Burkina","Featuring adjustable ambient lighting with multiple colors and brightness levels, it sets the...",https://jiji.com.gh/taifa-burkina/audio-and-music-equipment/2-active-ceiling-speakers-with-rgb-light-2-5inch-full-range-speakers-ffYdSuHaAN5k9nQ9Wm1Y8aI.html,Jiji Ghana (jiji.com.gh),2026-04-27
