Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Property / Real Estate,"Half Plot for Sale , Size 50/90",400000.0,"GH₵ 400,000",,Greater Accra,Spintex,"Greater Accra, Spintex",,"Half plot for sale in Lashibi around celebrity hills, it documented.",https://jiji.com.gh/spintex/land-and-plots-for-sale/half-plot-for-sale-size-50-90-pH9xcTvAJuYKCjeOu0uE1M9W.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,8 Plots of Flat Land With Beautiful Sea View for Sale,42000.0,"GH₵ 42,000",,Central Region,Awutu Senya East Municipal,"Central Region, Awutu Senya East Municipal",Verified ID,"Beautiful landscape,sea view,motorable access road and peaceful environment, close to the astro turf...",https://jiji.com.gh/awutu-senya/land-and-plots-for-sale/8-plots-of-flat-land-with-beautiful-sea-view-for-sale-kzg9P28zckNjlXjvXleyUf8D.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,"2bdrm Apartment in Alhaji, Mile 7 for rent",1500.0,"GH₵ 1,500",,Greater Accra,Achimota,"Greater Accra, Achimota",5+ years on Jiji,2 bedroom apartment with one washroom for rent at Tabora Alhaji going for Ghc 1500 per month for 2...,https://jiji.com.gh/mile-7/houses-apartments-for-rent/2bdrm-apartment-in-alhaji-mile-7-for-rent-8WwZ4sTI666lTdq7DrbtVxDc.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,"3bdrm House in Alex Otuo Properties, Asokore Mampong Municipal for sale",820000.0,"GH₵ 820,000","100sqm, 3 bedrooms",Ashanti,Asokore Mampong Municipal,"Ashanti, Asokore Mampong Municipal",3+ years on Jiji,Three bedrooms two washrooms house asokore manpong parkoso,https://jiji.com.gh/asokore-mampong/houses-apartments-for-sale/3bdrm-house-in-alex-otuo-properties-asokore-mampong-municipal-for-sale-1wHCDfrlz2zvCJBMadnIBOZ7.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,2bdrm House in East Legon for sale,700000.0,"GH₵ 700,000","40sqm, 2 bedrooms",Greater Accra,East Legon,"Greater Accra, East Legon","Verified ID, 5+ years on Jiji",Good location house for sale at Eastlegon hills call Green for more details,https://jiji.com.gh/east-legon/houses-apartments-for-sale/2bdrm-house-in-east-legon-for-sale-iHst0Du5Cnqrmxr51mdr7O4l.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,"Plots for Sale in Lashibi, Size 70/100",450000.0,"GH₵ 450,000",,Greater Accra,Spintex,"Greater Accra, Spintex",,Six plot for sale in Lashibi at the back of emerf estate each plo,https://jiji.com.gh/spintex/land-and-plots-for-sale/plots-for-sale-in-lashibi-size-70-100-aZsEjZcrpTCV6tnz486gUwVj.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Land for Sale at Tema Community 8 (2.6 Acres),16648700.0,"GH₵ 16,648,700","Agent, 9840sqm",Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 5+ years on Jiji","Prime 2.6-acre property in Tema Community 8.
2–3 mins to Tema General Hospital, 3–5 mins to Tema...",https://jiji.com.gh/tema-metropolitan/land-and-plots-for-sale/land-for-sale-at-tema-community-8-2-6-acres-dSZdyRLBn24sThJgA8cBCoBG.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,One and Half Plot of Land for Sale at Ajiriganor,1950000.0,"GH₵ 1,950,000",,Greater Accra,East Legon,"Greater Accra, East Legon","Verified ID, 5+ years on Jiji",*two plots of land for sale at east legon ajiriganor around the ability square area not far from the...,https://jiji.com.gh/east-legon/land-and-plots-for-sale/one-and-half-plot-of-land-for-sale-at-ajiriganor-2WAZuyDgxZWnuzL1idOmyD8y.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,"1bdrm Apartment in Biosk Properties, Frafraha for rent",1300.0,"GH₵ 1,300",,Greater Accra,Adenta,"Greater Accra, Adenta",5+ years on Jiji,A decent chamber and hall self-contained for rent for Ghc1300 for one year advance at...,https://jiji.com.gh/frafraha/houses-apartments-for-rent/1bdrm-apartment-in-biosk-properties-frafraha-for-rent-p9AnU90gO8FBMy1FuChZXieB.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,12 Bedrooms On 4 Plots Of Land For Sale At Ada,7700000.0,"GH₵ 7,700,000",1200sqm,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",3+ years on Jiji,"The tallest storey building at big Ada River view for sale. It can be used for Hotel, Guess house,...",https://jiji.com.gh/tema-metropolitan/commercial-properties/12-bedrooms-on-4-plots-of-land-for-sale-at-ada-hYKXvQXjUycrTKCchLMsPNSM.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Half Plot of Land for Sale at Tseaddo,450000.0,"GH₵ 450,000",,Greater Accra,Teshie,"Greater Accra, Teshie",3+ years on Jiji,Half plot of land for sale at Tseaddo 3 minutes drive from Zion hut restaurant size 65/55 feet well...,https://jiji.com.gh/tseaddo/land-and-plots-for-sale/half-plot-of-land-for-sale-at-tseaddo-6hblSL9FIhWPQPVuH1TUb21N.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,2bdrm Block of Flats in Tseaddo for sale,13500.0,"GH₵ 13,500","111sqm, 2 bedrooms",Greater Accra,Teshie,"Greater Accra, Teshie","Verified ID, 5+ years on Jiji","Newly built 2 Bedrooms Apartments in tseado 
Price is 850$(including service charge) 
Interested...",https://jiji.com.gh/tseaddo/houses-apartments-for-sale/2bdrm-block-of-flats-in-tseaddo-for-sale-byNlWdk7L6xhUE4V5dzbb00y.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Land for Sale at East Legon Hills Gated Community,1300000.0,"GH₵ 1,300,000",,Greater Accra,East Legon,"Greater Accra, East Legon","Verified ID, 5+ years on Jiji",*one plots of land for sale at east legon hills around the british international school area not far...,https://jiji.com.gh/east-legon/land-and-plots-for-sale/land-for-sale-at-east-legon-hills-gated-community-dF8slmfb9gyThUfSNUWybNKc.html,Jiji Ghana (jiji.com.gh),2026-05-11
