Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
Vehicles,"Cr-v Hybrid Touring 2023,2024,2025 Front Bumper Chrome Trim Pair",2500.0,"GH₵ 2,500",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","CR-V Hybrid Touring 2023,2024,2025 Front Bumper Chrome Trim Pair",https://jiji.com.gh/abossey-okai/car-parts-and-accessories/cr-v-hybrid-touring-2023-2024-2025-front-bumper-chrome-trim-pair-nF1H7H36b5RRw7Vg0b6EbPK3.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,"Acura RDX 2019,2020,2021,2022 Ends",700.0,GH₵ 700,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",We have many genuine honda and acura brand new and foreign used parts instock at shop.,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/acura-rdx-2019-2020-2021-2022-ends-1KdXAPvqmcIQIY9LhbA5h8O0.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,"Honda CRV Back Trailer Arm for 2017,2018,2019,2020, -2023",1100.0,"GH₵ 1,100",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Honda CRV Back Lower Arm 2017,2018,2019,2020,2021-2023
Buy and get 3 months warranty.",https://jiji.com.gh/abossey-okai/car-parts-and-accessories/honda-crv-back-trailer-arm-for-2017-2018-2019-2020-2023-kzyRPGWDbXFUq8WSnnFDFhVp.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,"Hrv 2014,2015,2017,2018,2019 Spec Tail Light",6000.0,"GH₵ 6,000",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","hrv 2014,2015,2017,2018,2019 spec tail light",https://jiji.com.gh/abossey-okai/car-parts-and-accessories/hrv-2014-2015-2017-2018-2019-spec-tail-light-8714C5YRaRd6APSvqQilYibZ.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Ferrari 458 Italia 4.5 RWD 2016 Black,2400000.0,"GH₵ 2,400,000","Foreign Used, Automatic",Greater Accra,East Legon,"Greater Accra, East Legon","2017 Ferrari 458 Italia. One in town in Ghana
Own a piece of automotive artistry with this car. With...",https://jiji.com.gh/east-legon/cars/ferrari-458-italia-4-5-rwd-2016-black-jNZOAEy8m08ku1wLesswQvlf.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,"Mitsubishi Outlander Driving Mirror 2022,2023,2024,2025",3800.0,"GH₵ 3,800",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Original product from USA,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/mitsubishi-outlander-driving-mirror-2022-2023-2024-2025-ChFVeouAn5TscLhiTk2B6xjm.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Hyundai Elantra 2024 Front Bumper Complete,8000.0,"GH₵ 8,000",Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Hyundai Elantra 2024 front bumper complete,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/hyundai-elantra-2024-front-bumper-complete-un4T2bWMw5U93yEuUHXZOQNr.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Honda CRV 2017-2023 Back Caliper With Abs Complete,1500.0,"GH₵ 1,500",Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Foreign used Honda CRV 2017-2022 Back or Rear Calipers with the ABS complete,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/honda-crv-2017-2023-back-caliper-with-abs-complete-g2kzZs0g3w1xsjXxrHWq4fzK.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Civic Headlight 2023,7200.0,"GH₵ 7,200",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",CRV headlight 2023 LED,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/civic-headlight-2023-3zU3Zc9qP0zCulsUhC7aungG.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,"Camry Front Bumper Complete 2018,2019,2020,2021",3900.0,"GH₵ 3,900",Brand New,Greater Accra,Darkuman,"Greater Accra, Darkuman",Brand new Camry bumper,https://jiji.com.gh/darkuman/car-parts-and-accessories/camry-front-bumper-complete-2018-2019-2020-2021-4UBbTQlL8dPv4RbP23sy21N0.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Honda Civic 2016 2017 2018 2019 Back Bumper Diffuser,650.0,GH₵ 650,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Have back bumper diffuser for Honda Civic 2016 2017 2018,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/honda-civic-2016-2017-2018-2019-back-bumper-diffuser-kf01XqzYCcpQE40K76R7I2uS.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,CRV 2023 2024 2025 Key Cover,250.0,GH₵ 250,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Key cover for Honda CRV,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/crv-2023-2024-2025-key-cover-isnye4pDxX6UxWaMfbXFsGqT.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Honda Civic 3d Floor Mats,1000.0,"GH₵ 1,000",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Quality and well designed and fits ur cars perfectly and keeps ur car clean away from Dirts. Call or...,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/honda-civic-3d-floor-mats-32LFjt5tP11HY5aSqEmGiVKe.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Toyota RAV4 2020 White,385000.0,"GH₵ 385,000","Foreign Used, Automatic",Greater Accra,Madina,"Greater Accra, Madina","Toyota RAV4 2020 model 
Clean as in the pictures 
No hidden faults 
Best offers only",https://jiji.com.gh/madina/cars/toyota-rav4-2020-white-k60ovVs1mdlV3UcdpTy7wqMu.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Constant Velocity (Cv) Joint,400.0,GH₵ 400,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",A CV joint is a critical automotive component that allows a drive shaft to transmit power through a...,https://jiji.com.gh/achimota/car-parts-and-accessories/constant-velocity-cv-joint-rJtUQdpx90bQAP95czCp49JU.html,Jiji Ghana (jiji.com.gh),2026-04-27
