column_name,display_name,description,data_type,unit,example_value,null_count,null_pct
year_on_year_uvi_change_export_vehicles_and_automotive_parts,Year On Year Uvi Change Export Vehicles And Automotive Parts,,float64,,,18,100.0%
year_on_year_uvi_change_export_iron_and_steel,Year On Year Uvi Change Export Iron And Steel,,float64,,,18,100.0%
year_on_year_uvi_change_export_plastics,Year On Year Uvi Change Export Plastics,,float64,,,18,100.0%
year_on_year_uvi_change_export_vegetable_products,Year On Year Uvi Change Export Vegetable Products,,float64,,,18,100.0%
year_on_year_uvi_change_export_other_products,Year On Year Uvi Change Export Other Products,,float64,,0.5,4,22.2%
year_on_year_uvi_change_import_all_products,Year On Year Uvi Change Import All Products,,float64,,-13.0,4,22.2%
year_on_year_uvi_change_import_gold,Year On Year Uvi Change Import Gold,,float64,,,18,100.0%
year_on_year_uvi_change_import_mineral_fuels_and_oils,Year On Year Uvi Change Import Mineral Fuels And Oils,,float64,,-17.6,4,22.2%
year_on_year_uvi_change_import_cocoa_beans_and_products,Year On Year Uvi Change Import Cocoa Beans And Products,,float64,,,18,100.0%
year_on_year_uvi_change_import_machinery_and_electrical_equipment,Year On Year Uvi Change Import Machinery And Electrical Equipment,,float64,,-6.9,4,22.2%
year_on_year_uvi_change_import_chemical_products,Year On Year Uvi Change Import Chemical Products,,float64,,-9.3,4,22.2%
year_on_year_uvi_change_import_vehicles_and_automotive_parts,Year On Year Uvi Change Import Vehicles And Automotive Parts,,float64,,-8.6,4,22.2%
year_on_year_uvi_change_import_iron_and_steel,Year On Year Uvi Change Import Iron And Steel,,float64,,-18.9,4,22.2%
year_on_year_uvi_change_import_plastics,Year On Year Uvi Change Import Plastics,,float64,,-15.8,4,22.2%
year_on_year_uvi_change_import_vegetable_products,Year On Year Uvi Change Import Vegetable Products,,float64,,,18,100.0%
year_on_year_uvi_change_import_other_products,Year On Year Uvi Change Import Other Products,,float64,,-8.7,4,22.2%
quarter_on_quarter_uvi_change_export_all_products,Quarter On Quarter Uvi Change Export All Products,,float64,,-4.2,1,5.6%
quarter_on_quarter_uvi_change_export_gold,Quarter On Quarter Uvi Change Export Gold,,float64,,3.7,1,5.6%
quarter_on_quarter_uvi_change_export_mineral_fuels_and_oils,Quarter On Quarter Uvi Change Export Mineral Fuels And Oils,,float64,,-31.8,1,5.6%
quarter_on_quarter_uvi_change_export_cocoa_beans_and_products,Quarter On Quarter Uvi Change Export Cocoa Beans And Products,,float64,,-1.1,1,5.6%
quarter_on_quarter_uvi_change_export_machinery_and_electrical_equipment,Quarter On Quarter Uvi Change Export Machinery And Electrical Equipment,,float64,,,18,100.0%
quarter_on_quarter_uvi_change_export_chemical_products,Quarter On Quarter Uvi Change Export Chemical Products,,float64,,,18,100.0%
quarter_on_quarter_uvi_change_export_vehicles_and_automotive_parts,Quarter On Quarter Uvi Change Export Vehicles And Automotive Parts,,float64,,,18,100.0%
quarter_on_quarter_uvi_change_export_iron_and_steel,Quarter On Quarter Uvi Change Export Iron And Steel,,float64,,,18,100.0%
quarter_on_quarter_uvi_change_export_plastics,Quarter On Quarter Uvi Change Export Plastics,,float64,,,18,100.0%
