column_name,display_name,description,data_type,unit,example_value,null_count,null_pct
year_on_year_iip_change_manufacture_of_furniture,Year On Year Iip Change Manufacture Of Furniture,,float64,,6.6,4,26.7%
year_on_year_iip_change_other_manufacturing,Year On Year Iip Change Other Manufacturing,,float64,,14.6,4,26.7%
year_on_year_iip_change_repair_and_installation_of_machinery_and_equipment,Year On Year Iip Change Repair And Installation Of Machinery And Equipment,,float64,,-1.8,4,26.7%
year_on_year_iip_change_electricity_and_gas,Year On Year Iip Change Electricity And Gas,,float64,,2.8,4,26.7%
year_on_year_iip_change_electricity_gas_steam_and_air_conditioning_supply,Year On Year Iip Change Electricity Gas Steam And Air Conditioning Supply,,float64,,2.8,4,26.7%
year_on_year_iip_change_water_supply_sewage_and_waste_management,Year On Year Iip Change Water Supply Sewage And Waste Management,,float64,,1.4,4,26.7%
year_on_year_iip_change_water_collection_treatment_and_supply,Year On Year Iip Change Water Collection Treatment And Supply,,float64,,1.2,4,26.7%
year_on_year_iip_change_waste_collection_treatment_and_disposal_activities;_materials_recovery,Year On Year Iip Change Waste Collection Treatment And Disposal Activities; Materials Recovery,,float64,,0.4,4,26.7%
quarter_on_quarter_iip_change_all_industries,Quarter On Quarter Iip Change All Industries,,float64,,0.5,1,6.7%
quarter_on_quarter_iip_change_mining_and_quarrying,Quarter On Quarter Iip Change Mining And Quarrying,,float64,,1.4,1,6.7%
quarter_on_quarter_iip_change_extraction_of_crude_petroleum_and_natural_gas,Quarter On Quarter Iip Change Extraction Of Crude Petroleum And Natural Gas,,float64,,3.5,1,6.7%
quarter_on_quarter_iip_change_mining_of_metal_ores,Quarter On Quarter Iip Change Mining Of Metal Ores,,float64,,-0.3,1,6.7%
quarter_on_quarter_iip_change_other_mining_and_quarrying,Quarter On Quarter Iip Change Other Mining And Quarrying,,float64,,1.0,1,6.7%
quarter_on_quarter_iip_change_manfacturing,Quarter On Quarter Iip Change Manfacturing,,float64,,0.8,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_food_products,Quarter On Quarter Iip Change Manufacture Of Food Products,,float64,,-0.5,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_beverages,Quarter On Quarter Iip Change Manufacture Of Beverages,,float64,,-4.3,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_textiles,Quarter On Quarter Iip Change Manufacture Of Textiles,,float64,,11.1,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_wearing_apparel,Quarter On Quarter Iip Change Manufacture Of Wearing Apparel,,float64,,1.2,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_leather_and_related_products,Quarter On Quarter Iip Change Manufacture Of Leather And Related Products,,float64,,-14.5,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_wood_and_of_products_of_wood_and_cork,Quarter On Quarter Iip Change Manufacture Of Wood And Of Products Of Wood And Cork,,float64,,0.6,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_paper_and_paper_products,Quarter On Quarter Iip Change Manufacture Of Paper And Paper Products,,float64,,18.4,1,6.7%
quarter_on_quarter_iip_change_printing_and_reproduction_of_recorded_media,Quarter On Quarter Iip Change Printing And Reproduction Of Recorded Media,,float64,,18.8,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_coke_and_refined_petroleum_products,Quarter On Quarter Iip Change Manufacture Of Coke And Refined Petroleum Products,,float64,,7.0,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_chemicals_and_chemical_products,Quarter On Quarter Iip Change Manufacture Of Chemicals And Chemical Products,,float64,,1.9,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_pharmaceuticals_medicinal_chemical_and_botanical_products,Quarter On Quarter Iip Change Manufacture Of Pharmaceuticals Medicinal Chemical And Botanical Products,,float64,,14.8,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_rubber_and_plastics_products,Quarter On Quarter Iip Change Manufacture Of Rubber And Plastics Products,,float64,,9.3,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_other_non_metallic_mineral_products,Quarter On Quarter Iip Change Manufacture Of Other Non Metallic Mineral Products,,float64,,2.2,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_basic_metals,Quarter On Quarter Iip Change Manufacture Of Basic Metals,,float64,,-8.8,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_fabricated_metal_products_except_machinery_and_equipment,Quarter On Quarter Iip Change Manufacture Of Fabricated Metal Products Except Machinery And Equipment,,float64,,-2.7,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_computer_electronic_and_optical_products,Quarter On Quarter Iip Change Manufacture Of Computer Electronic And Optical Products,,float64,,-3.4,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_electrical_equipment,Quarter On Quarter Iip Change Manufacture Of Electrical Equipment,,float64,,-5.9,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_machinery_and_equipment_n.e.c.,Quarter On Quarter Iip Change Manufacture Of Machinery And Equipment N.E.C.,,float64,,1.0,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_motor_vehicles_trailers_and_semi_trailers,Quarter On Quarter Iip Change Manufacture Of Motor Vehicles Trailers And Semi Trailers,,float64,,10.5,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_other_transport_equipment,Quarter On Quarter Iip Change Manufacture Of Other Transport Equipment,,float64,,-2.6,1,6.7%
quarter_on_quarter_iip_change_manufacture_of_furniture,Quarter On Quarter Iip Change Manufacture Of Furniture,,float64,,6.7,1,6.7%
quarter_on_quarter_iip_change_other_manufacturing,Quarter On Quarter Iip Change Other Manufacturing,,float64,,-3.2,1,6.7%
quarter_on_quarter_iip_change_repair_and_installation_of_machinery_and_equipment,Quarter On Quarter Iip Change Repair And Installation Of Machinery And Equipment,,float64,,-11.5,1,6.7%
quarter_on_quarter_iip_change_electricity_and_gas,Quarter On Quarter Iip Change Electricity And Gas,,float64,,-14.6,1,6.7%
quarter_on_quarter_iip_change_electricity_gas_steam_and_air_conditioning_supply,Quarter On Quarter Iip Change Electricity Gas Steam And Air Conditioning Supply,,float64,,-14.6,1,6.7%
quarter_on_quarter_iip_change_water_supply_sewage_and_waste_management,Quarter On Quarter Iip Change Water Supply Sewage And Waste Management,,float64,,14.8,1,6.7%
quarter_on_quarter_iip_change_water_collection_treatment_and_supply,Quarter On Quarter Iip Change Water Collection Treatment And Supply,,float64,,0.0,1,6.7%
quarter_on_quarter_iip_change_waste_collection_treatment_and_disposal_activities;_materials_recovery,Quarter On Quarter Iip Change Waste Collection Treatment And Disposal Activities; Materials Recovery,,float64,,14.8,1,6.7%
