dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Double Bed With Mattress,1350.0,Brand New,Greater Accra,Ga South Municipal,"Greater Accra, Ga South Municipal",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Nasco 86ltr Table Top Double Door Refrigerators,1399.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Slow Juicer - Juice Extractor Thats Give 95% Juice,580.0,Brand New,Greater Accra,Odorkor,"Greater Accra, Odorkor",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Affordable Sigma 417l Double Door Bottom Freezer Fridge Sbmf-t417w,7950.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Durable Nasco 90 Litres Top Frezzer Refrigerator - Nasf2-120,1850.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Nasco Nasf213(112ltr) Double Door Refrigerator,1849.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Brand New Butterfly Style Double Bed Frame for Sale,1550.0,Brand New,Greater Accra,Cantonments,"Greater Accra, Cantonments",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Wardrobe With Mirror,1200.0,Used,Greater Accra,Spintex,"Greater Accra, Spintex",,,False,Platform B,Used
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Ultimate Nasco 200ltrs Chest Freezer - Nas210,2750.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Quality Samsung 8kg Top Load Washing Machine - Wa80cg4240bwnq,4799.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
