dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,R16k Selfie Stick,130.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,"The R16K Selfie Stick with Grip Handle is a multifunctional selfie accessory designed for creators,...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Iyke Sp-224 40000mah Powerbank,250.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,"IYKE SP-224 Ultra Large Capacitance Power Bank is a portable charger with a capacity of 40,000mAh....",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Samsung 20000mah Powerbank,400.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,"​Key Features:
​Massive 20,000mAh Capacity: Provides multiple full charges for your smartphone,...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Original Batteries,600.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",,"Original iPhone batteries, 
16
16pro-max 
16pro-max 
15pro-max American version 
14pro-max
Etc",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Heatz Hb25 Air Epods Wireless Stereo,200.0,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",,"HEATZ Wireless Stereo Air ePods HB25 – Experience True Freedom



Step into a truly wireless...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,"Depin 10,000 Mah Magnetic Wireless Power Bank",265.0,Brand New,Greater Accra,Dome,"Greater Accra, Dome","Verified ID, 5+ years on Jiji","22.5W Charging Out 
15W Wireless Charging 
10,000 mAh 
LED Display",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Cmopol Gh 50000mah Power Bank,300.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",,"CMOPOL GH 50000mAh Power Bank - Stay Charged On-the-Go!*
Key Features:*
- *50000mAh Capacity*: Power...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Samsung Galaxy A17 128 GB Gray,1800.0,Brand New,Greater Accra,Spintex,"Greater Accra, Spintex",5+ years on Jiji,Expand your view to the 6.7-inch Infinity-V Display of Galaxy A16 4G and get the bigger picture on...,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Tablet 512 GB Blue,950.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5+ years on Jiji","Strong Kids Learning Tablet 
12gb Ram 
512 Storage 
Can be used as a tablet by adults as well",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Apple iPhone 13 Pro 128 GB Blue,4500.0,Used,Brong Ahafo,Sunyani Municipal,"Brong Ahafo, Sunyani Municipal","Verified ID, 3+ years on Jiji","13 Pro 128gb Factory Unlocked BH92 available as seen, Swap is allowed ",False,Platform A,
