dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Brand New 500gb Laptop Hard Drive From USA,160.0,Brand New,Greater Accra,Weija,"Greater Accra, Weija","Verified ID, 5+ years on Jiji",We are wholesale selling outlet hence why our price are the cheapest in the market. nobody can beat...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Original 87w Type-C Macbook Charger,350.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,"It’s available in large quantity 
Input: 100-240V~1.5A 50~60Hz
Output: 20.2V——4.3A
 9V——3A
...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Original Hp Blue Pin,80.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,HP blue pin adapter the original HP laptop charger with a blue tip used for HP laptops like...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,HP ENVY Mb04xl,400.0,Brand New,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",,"Envy x360 15-aq000nb, envy x360 15-aq000nf, envy x360 15-aq000ng, envy x360 15-aq000nia, envy x360...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Laptop Power Bank 250w,1750.0,Brand New,Greater Accra,Haatso,"Greater Accra, Haatso",5+ years on Jiji,"This power bank is very portable. 250W(216watthours, 54000maH).
Can power your laptop , fan, TV,...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,SSD M.2 256 Drive,400.0,Brand New,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",,"SSD M.2 256 Drive 
Original 
Tested and working perfectly",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Laptop Lcd Screen For Hp Elitebook X360 1030 G4 Touch Screen,1900.0,Brand New,Greater Accra,Accra New Town,"Greater Accra, Accra New Town","Verified ID, 5+ years on Jiji",Replacement Laptop LCD Screen Display for HP EliteBook x360 1030 G4 with Touch Screen 13.3 Inch 30...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,USB Extender Cable 10M,80.0,Brand New,Greater Accra,Kaneshie,"Greater Accra, Kaneshie",,"Usb extender- cable 10m
full hd 2k×4k
dvi 
video 
vga
usb",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Ea Sports Fc26 Ps4,800.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Ea Sports Fc26 PS4
FIFA 26",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,JVC Wireless Sound Bar,1550.0,Brand New,Greater Accra,Alajo,"Greater Accra, Alajo","Verified ID, 5+ years on Jiji","Description
Create the cinema experience at home with the JVC Bluetooth Sound Bar with detachable...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Laptop Hard Drive,150.0,Used,Greater Accra,Lapaz,"Greater Accra, Lapaz","Verified ID, 5+ years on Jiji","Laptop hard drives for available... 
500 and 750 GiG
Call for more info",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Asus Battery C31n1811,350.0,Brand New,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",3+ years on Jiji,U4300F/FA/FN UX433FX C31N1811,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,"Dell Ups, Pdu, C13 to C14 Power Cord",40.0,Brand New,Greater Accra,Oyarifa,"Greater Accra, Oyarifa","Verified ID, 5+ years on Jiji","6 feet Dell pdu, or ups power cable. C13 to C14",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Hp Battery Ss03xl Original,250.0,Brand New,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",3+ years on Jiji,"Ss03xl 933321-855 battery for hp elitebook 840 g5 g6, 730 735 740 745 830 846 g5, zbook 14u g6...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Vga to Hdmi Converter (1080p),100.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",,"This is a VGA to HDMI converter 1080p resolution 
 * USB micro cable for power 
 * Comes with audio...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Pen Drive 3.0 USB Flash Drive,50.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Pen drives and Memory cards all Brand, sizes Available",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Dell Charger For Laptop,75.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",5+ years on Jiji,dell 19.5v 4.62a charge,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Livestream and Podcasting Studio Pro Audio Bundle,1140.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Item Components & Description
Dual Condenser Microphones: High-sensitivity microphones equipped with...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Dual Lens Smart V380 Pro Wifi Camera,350.0,,Greater Accra,Tesano,"Greater Accra, Tesano",Verified ID,"V380 Pro WiFi IP camera, commonly used for indoor and outdoor security surveillance. Key features...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Sealed 12V 5ah UPS Lead Acid Battery,170.0,Brand New,Greater Accra,Madina,"Greater Accra, Madina","Verified ID, 5+ years on Jiji","Applications
• UPS Standby Power Applications
• Data Centers
• Emergency 911 Centers
• Hospitals &...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Lg G5 77 Inch Oled Tv.,38000.0,"77inches, 2160p (4K)",Greater Accra,Kaneshie,"Greater Accra, Kaneshie",,"Next-Gen Display: Uses a ""four-stack"" tandem OLED panel that is up to 45% brighter than the G4 and...",True,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Multi-Functional 8-in-1 Usb 3.1 Type-C Hub Adapter,170.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"This 8-in-1 USB 3.1 Type-C hub adapter supports 4K HDMI, USB 3.0 data transfer up to 5Gbps, 100W PD...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,USA Brand New 500gb Laptop Hard Disk Drive From USA,160.0,Brand New,Greater Accra,Weija,"Greater Accra, Weija","Verified ID, 5+ years on Jiji",We just brought some hard disk drive from USA. We are a wholesale outlet hence why our price are the...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Lenovo Charger Small Pin 20v 2.25a,150.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",3+ years on Jiji,Original lenovo Charger small pin 20v 2.25a for every lenovo laptops with small pin fast charging...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,New Baofeng Uv32 GPS Walkie Talkie,750.0,Brand New,Greater Accra,Ga South Municipal,"Greater Accra, Ga South Municipal","Verified ID, 5+ years on Jiji","BAOFENG UV-32, 10W Walkie Talkie 
Walkie-Talkie Long Range Radio (Between 8- 15km depending on...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Bluetooth Wireless Keyboard and Mouse,130.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5+ years on Jiji","Bluetooth mini keyboard and mouse
Very portable and reliable",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Smart Bulb 360 CCTV Camera.,199.0,,Greater Accra,Circle,"Greater Accra, Circle",,"New Smart Bulb CCTV Camera. 
Monitor with your Phone Anywhere in The World.",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,MILANG Gaming Wired Keyboard Mouse With Cool RGB Backlit,200.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",5+ years on Jiji,"MILANG Gaming wired Keyboard & Mouse with cool RGB backlit lighting metal panel USB interface
Brand:...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Dji Rs3 Mini Gimbal,3750.0,Brand New,Greater Accra,Spintex,"Greater Accra, Spintex",Verified ID,"795g (1.75lbs) Lightweight Design
Supports A7+24-70mm F2 8 GM
Bluetooth Shutter Control 
3rd-Gen RS...",True,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Original Macbook T Charger,170.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",3+ years on Jiji,"Original Apple MacBook charger with quarantee , delivery at a fee if apply",False,Platform A,
