source,last_updated,period,value_in_ghana_cedis_total_revenue_and_grants,value_in_ghana_cedis_domestic_revenue,value_in_ghana_cedis_tax_revenue,value_in_ghana_cedis_taxes_on_income_and_property_direct,value_in_ghana_cedis_company_taxes,value_in_ghana_cedis_company_taxes_on_oil,value_in_ghana_cedis_other_direct_taxes,value_in_ghana_cedis_taxes_on_domestic_goods_and_services_indirect,value_in_ghana_cedis_vat,value_in_ghana_cedis_international_trade_taxes,value_in_ghana_cedis_import_duties,value_in_ghana_cedis_grants,value_in_ghana_cedis_total_expenditure,value_in_ghana_cedis_compensation_of_employees,value_in_ghana_cedis_interest_payments,value_in_ghana_cedis_grants_to_other_government_units,value_in_ghana_cedis_capital_expenditure,value_in_ghana_cedis_overall_balance_incl_divestiture_and_discrepancy,value_in_ghana_cedis_financing,value_in_ghana_cedis_foreign_financing_net,value_in_ghana_cedis_domestic_financing_net,percentage_of_annual_gdp_total_revenue_and_grants,percentage_of_annual_gdp_domestic_revenue,percentage_of_annual_gdp_tax_revenue,percentage_of_annual_gdp_taxes_on_income_and_property_direct,percentage_of_annual_gdp_company_taxes,percentage_of_annual_gdp_company_taxes_on_oil,percentage_of_annual_gdp_other_direct_taxes,percentage_of_annual_gdp_taxes_on_domestic_goods_and_services_indirect,percentage_of_annual_gdp_vat,percentage_of_annual_gdp_international_trade_taxes,percentage_of_annual_gdp_import_duties,percentage_of_annual_gdp_grants,percentage_of_annual_gdp_total_expenditure,percentage_of_annual_gdp_compensation_of_employees,percentage_of_annual_gdp_interest_payments,percentage_of_annual_gdp_grants_to_other_government_units,percentage_of_annual_gdp_capital_expenditure,percentage_of_annual_gdp_overall_balance_incl_divestiture_and_discrepancy,percentage_of_annual_gdp_financing,percentage_of_annual_gdp_foreign_financing_net,percentage_of_annual_gdp_domestic_financing_net
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-11,4677905233.2,4669098977.0,3889929919.6,1327911319.6,622112545.6,0.0,705798773.9,2115149114.0,1096607395.4,678183491.9,678183491.9,8806256.2,11162058333.2,3179366044.4,3295969941.6,1032993609.0,2171017292.0,-6846094034.1,6846094034.1,181688443.8,6664405590.2,1.0,1.0,0.8,0.3,0.1,0.0,0.2,0.5,0.2,0.1,0.1,0.0,2.4,0.7,0.7,0.2,0.5,-1.5,1.5,0.0,1.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-10,7151044994.7,7074211388.2,5981902673.6,3316889585.5,2058983843.7,0.0,1257905741.7,2413642637.5,1253092886.0,593148353.2,593148353.2,76833606.5,9798907308.7,2116089717.2,2607828086.5,1317533306.4,1836594718.5,-2013362842.7,2013362842.7,88645097.7,1924717745.1,1.5,1.5,1.3,0.7,0.4,0.0,0.3,0.5,0.3,0.1,0.1,0.0,2.1,0.5,0.6,0.3,0.4,-0.4,0.4,0.0,0.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-Q3,18647181215.7,36898248024.2,13865551852.7,6603091585.6,2434325246.7,373824304.1,3794942034.8,6252663434.7,3223144387.6,1795237675.9,1795237675.9,198057203.6,29697448892.3,8654126691.0,10344129190.5,3775429704.4,3098039327.9,-12466584312.6,12466584312.6,-1458760249.0,14432465379.2,4.0,8.0,3.0,1.4,0.5,0.1,0.8,1.4,0.7,0.4,0.4,0.0,6.4,1.9,2.2,0.8,0.7,-2.7,2.7,-0.3,3.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-09,7490763246.3,7438916062.0,5125157328.4,2804561798.4,1120446904.6,373824304.1,1310290589.7,2027494212.8,1081297608.5,565996720.5,565996720.5,51847184.3,10305775743.6,3004918337.5,3866720447.4,1595612056.1,746171258.6,-3296093553.2,3296093553.2,-500233137.3,4277760638.6,1.6,1.6,1.1,0.6,0.2,0.1,0.3,0.4,0.2,0.1,0.1,0.0,2.2,0.7,0.8,0.3,0.2,-0.7,0.7,-0.1,0.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-08,4994450179.9,4950034369.6,3822170436.4,1239199110.2,339648630.7,0.0,899550479.5,2132426819.1,1083399548.3,659266752.6,659266752.6,44415810.2,9418442655.8,3017704143.2,2907182516.6,1035112723.3,980967620.0,-4489552060.2,4489552060.2,-743439944.1,5232992004.2,1.1,1.1,0.8,0.3,0.1,0.0,0.2,0.5,0.2,0.1,0.1,0.0,2.0,0.7,0.6,0.2,0.2,-1.0,1.0,-0.2,1.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-07,6161967789.5,6060173580.4,4918224087.9,2559330677.1,974229711.5,0.0,1585100965.5,2092742402.8,1058447230.8,569974202.7,569974202.7,101794209.1,9973230492.9,2631504210.4,3570226226.5,1144704925.0,1370900449.3,-4680938699.2,4680938699.2,-215087167.7,4921712736.3,1.3,1.3,1.1,0.6,0.2,0.0,0.3,0.5,0.2,0.1,0.1,0.0,2.2,0.6,0.8,0.2,0.3,-1.0,1.0,0.0,1.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-Q2,15747756765.9,31184745906.3,12870020799.0,6463575654.1,2539109663.4,322344972.1,3602121018.6,5467118611.0,2859835504.6,1640305348.3,1640305348.3,155383812.7,24859082513.9,7805142101.8,6754583818.7,3302702297.2,3789641432.9,-10783908542.0,10783908542.0,15102193550.2,-3453491586.8,3.4,6.8,2.8,1.4,0.6,0.1,0.8,1.2,0.6,0.4,0.4,0.0,5.4,1.7,1.5,0.7,0.8,-2.3,2.3,3.3,-0.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-06,5819016329.4,5783906675.6,4842203265.8,2536546934.7,1178861199.1,263963261.6,1093722474.0,1937916346.5,1051960778.5,597405681.4,597405681.4,35109653.9,9139746654.9,3069484019.9,1954092508.8,1226364138.5,1436737084.6,-2467400568.4,2467400568.4,-65642143.0,2597752779.1,1.3,1.3,1.0,0.5,0.3,0.1,0.2,0.4,0.2,0.1,0.1,0.0,2.0,0.7,0.4,0.3,0.3,-0.5,0.5,0.0,0.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-05,4196176071.9,4167639697.1,3539730743.0,1336926843.2,416816585.6,0.0,920110257.7,1881378509.0,990919571.5,524885245.2,524885245.2,28536374.8,7896293275.8,2454807695.5,2573158880.9,860425874.7,1260796209.1,-5040489027.7,5040489027.7,-165656824.2,5864914609.3,0.9,0.9,0.8,0.3,0.1,0.0,0.2,0.4,0.2,0.1,0.1,0.0,1.7,0.5,0.6,0.2,0.3,-1.1,1.1,0.0,1.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-04,5732564364.6,5640826580.5,4488086790.2,2590101876.1,943431878.8,58381710.5,1588288286.9,1647823755.5,816955154.6,518014421.6,518014421.6,91737784.0,7823042583.2,2280850386.3,2227332429.0,1215912284.0,1092108139.2,-3276018945.9,3276018945.9,15333492517.4,-11916158975.1,1.2,1.2,1.0,0.6,0.2,0.0,0.3,0.4,0.2,0.1,0.1,0.0,1.7,0.5,0.5,0.3,0.2,-0.7,0.7,3.3,-2.6
