source,last_updated,indicator,period,consumer_price_index_and_inflation
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2002-09,8.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2002-08,8.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2002-07,8.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2002-06,8.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2002-05,8.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2002-04,8.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2002-03,8.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2002-02,8.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2002-01,8.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-12,8.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-11,8.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-10,8.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-09,8.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-08,8.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-07,8.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-06,8.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-05,8.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-04,8.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-03,7.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-02,7.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2001-01,7.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-12,6.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-11,6.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-10,6.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-09,6.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-08,6.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-07,5.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-06,5.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-05,5.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-04,5.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-03,4.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-02,4.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2000-01,4.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-12,4.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-11,4.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-10,4.1
