Dataset,Source,Scraped Date,Month,Interbank Exchange Rate US Dollar (USD),Interbank Exchange Rate Pound Sterling (GBP),Interbank Exchange Rate Euro,Forex Bureau Exchange Rate US Dollar (USD),Forex Bureau Exchange Rate Pound Sterling (GBP),Forex Bureau Exchange Rate Euro
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M08,15.1,19.56,16.65,16.15,20.26,17.23
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M07,14.75,18.97,15.99,15.68,19.87,16.78
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M06,14.33,18.22,15.42,15.27,19.27,16.30
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M05,13.78,17.43,14.91,14.69,18.32,15.63
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M04,13.04,16.31,13.96,13.59,16.76,14.36
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M03,12.67,16.11,13.78,13.20,16.49,14.18
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M02,12.23,15.44,13.20,12.59,15.74,13.47
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M01,11.93,15.16,13.00,12.29,15.37,13.32
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M12,11.65,14.74,12.71,12.15,15.22,13.27
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M11,11.55,14.36,12.49,12.07,14.82,13.19
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M10,11.34,13.8,11.97,11.89,14.53,12.49
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M09,11.06,13.71,11.81,11.52,14.62,12.39
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M08,11.01,13.98,12.00,11.42,14.72,12.44
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M07,11.0,14.17,12.16,11.65,14.99,12.68
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M06,10.98,13.88,11.91,11.68,14.67,12.54
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M05,10.92,13.63,11.86,11.56,14.43,12.51
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M04,10.95,13.63,12.01,11.53,14.37,12.53
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M03,11.01,13.38,11.80,12.45,14.94,13.01
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M02,10.86,13.13,11.63,12.60,15.08,13.22
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M01,9.91,12.13,10.70,12.23,14.69,12.82
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M12,10.03,12.24,10.62,11.63,14.02,12.14
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M11,13.07,15.36,13.35,14.18,16.13,14.00
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M10,11.17,12.64,11.00,12.28,13.21,11.62
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M09,8.75,9.89,8.65,10.07,11.40,9.97
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M08,8.06,9.68,8.16,9.50,11.15,9.48
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M07,7.39,8.87,7.53,8.27,9.90,8.42
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M06,7.19,8.86,7.60,8.02,9.91,8.42
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M05,7.13,8.87,7.54,7.80,9.67,8.19
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M04,7.11,9.19,7.68,7.71,9.78,8.21
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M03,7.05,9.28,7.77,7.80,9.98,8.28
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M02,6.31,8.54,7.15,6.83,9.05,7.61
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M01,6.01,8.15,6.80,6.46,8.57,7.21
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M12,5.95,7.91,6.72,6.37,8.44,7.19
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M11,5.91,7.95,6.74,6.24,8.45,7.17
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M10,5.88,8.06,6.82,6.09,8.26,7.05
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M09,5.86,8.05,6.90,6.07,8.27,7.10
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M08,5.83,8.04,6.85,6.01,8.23,7.03
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M07,5.78,7.99,6.84,5.93,8.14,6.96
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M06,5.75,8.07,6.93,5.83,8.13,7.01
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M05,5.73,8.08,6.97,5.79,8.03,6.95
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M04,5.73,7.93,6.87,5.78,7.90,6.84
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M03,5.73,7.94,6.81,5.76,7.89,6.85
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M02,5.76,7.98,6.96,5.83,7.92,7.02
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021M01,5.77,7.85,7.00,5.90,7.90,7.10
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M12,5.72,7.69,6.97,5.93,7.83,7.03
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M11,5.71,7.55,6.76,5.89,7.66,6.89
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M10,5.71,7.41,6.72,5.84,7.49,6.79
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M09,5.7,7.38,6.72,5.82,7.52,6.77
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M08,5.68,7.47,6.72,5.81,7.45,6.70
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M07,5.67,7.19,6.50,5.84,7.22,6.47
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M06,5.64,7.07,6.35,5.92,7.18,6.39
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M05,5.61,6.9,6.12,5.89,7.00,6.26
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M04,5.52,6.85,5.99,5.82,6.85,6.16
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M03,5.36,6.61,5.91,5.58,6.89,6.07
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M02,5.32,6.9,5.80,5.44,7.00,5.92
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020M01,5.53,7.22,6.13,5.73,7.36,6.27
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M12,5.54,7.26,6.16,5.73,7.40,6.29
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M11,5.39,6.94,5.95,5.57,7.09,6.10
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M10,5.32,6.73,5.88,5.49,6.80,5.97
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M09,5.31,6.56,5.84,5.51,6.72,6.03
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M08,5.27,6.41,5.86,5.42,6.56,5.95
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M07,5.26,6.55,5.89,5.39,6.75,5.98
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M06,5.24,6.64,5.92,5.39,6.77,5.96
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M05,5.11,6.56,5.72,5.25,6.72,5.82
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M04,5.09,6.63,5.71,5.22,6.80,5.80
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M03,5.18,6.82,5.85,5.36,6.96,5.92
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M02,5.02,6.52,5.69,5.14,6.56,5.72
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019M01,4.89,6.31,5.59,4.99,6.31,5.61
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M12,4.81,6.11,5.47,4.95,6.24,5.56
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M11,4.79,6.18,5.45,4.88,6.24,5.51
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M10,4.79,6.24,5.50,4.89,6.32,5.58
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M09,4.76,6.12,5.50,4.91,6.29,5.63
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M08,4.71,6.06,5.44,4.81,6.15,5.51
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M07,4.65,6.12,5.44,4.77,6.24,5.51
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M06,4.46,5.93,5.21,4.68,6.18,5.44
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M05,4.42,5.94,5.21,4.57,6.14,5.42
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M04,4.41,6.2,5.41,4.46,6.22,5.47
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M03,4.41,6.17,5.44,4.49,6.17,5.48
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M02,4.42,6.17,5.33,4.53,6.26,5.52
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018M01,4.42,6.11,5.40,4.59,6.15,5.50
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M12,4.41,5.91,5.22,4.59,6.03,5.38
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M11,4.4,5.81,5.16,4.53,5.94,5.30
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M10,4.38,5.78,5.15,4.45,5.82,5.21
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M09,4.4,5.87,5.25,4.46,5.85,5.28
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M08,4.39,5.68,5.18,4.44,5.72,4.18
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M07,4.37,5.67,5.03,4.43,5.68,5.00
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M06,4.33,5.55,4.87,4.40,5.58,4.87
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M05,4.24,5.48,4.50,4.35,5.56,4.72
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M04,4.2,5.31,4.50,4.32,5.34,4.56
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M03,4.48,5.54,4.79,4.55,5.53,4.78
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M02,4.37,5.46,4.65,4.42,5.41,4.65
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017M01,4.24,5.23,4.50,4.30,5.25,4.50
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M12,4.09,5.12,4.32,4.25,5.22,4.43
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M11,3.97,4.93,4.29,4.09,4.99,4.40
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M10,3.97,4.91,4.38,3.99,4.97,4.40
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M09,3.96,5.2,4.44,3.97,5.19,4.39
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M08,3.95,5.17,4.42,3.96,5.16,4.37
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M07,3.94,5.18,4.35,3.95,5.29,4.34
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M06,3.88,5.54,4.36,3.92,5.55,4.36
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M05,3.81,5.54,4.32,3.85,5.47,4.32
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M04,3.82,5.46,4.33,3.87,5.40,4.33
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M03,3.85,5.47,4.27,3.93,5.41,4.27
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M02,3.87,5.54,4.29,3.99,5.64,4.35
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016M01,3.81,5.49,4.14,3.95,5.66,4.25
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M12,3.79,5.69,4.12,3.87,5.73,4.16
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M11,3.79,5.76,4.07,3.87,5.80,4.19
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M10,3.76,5.77,4.05,3.81,5.76,4.26
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M09,3.78,5.8,4.24,3.86,5.77,4.26
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M08,3.86,6.02,4.30,3.97,6.09,4.41
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M07,3.53,5.52,3.70,3.71,5.60,4.02
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M06,4.18,6.51,4.69,4.23,6.37,4.65
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M05,3.89,6.02,4.35,3.94,5.99,4.33
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M04,3.81,5.7,4.11,3.81,5.61,4.08
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M03,3.59,5.38,3.89,3.59,5.35,3.94
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M02,3.36,5.15,3.82,3.43,5.15,3.93
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M01,3.22,4.89,3.75,3.32,4.98,3.93
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M12,3.2,5.0,3.95,3.23,5.01,3.99
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M11,3.2,5.05,3.99,3.22,5.07,4.04
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M10,3.2,5.14,4.05,3.22,5.14,4.08
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M09,3.19,5.2,4.12,3.51,5.70,4.55
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M08,3.06,5.11,4.08,3.76,6.23,4.96
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M07,3.03,5.17,4.10,3.47,5.80,4.63
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M06,2.98,5.04,4.05,3.12,5.18,4.18
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M05,2.86,4.82,3.93,2.98,4.96,4.05
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M04,2.74,4.59,3.78,2.78,4.58,3.78
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M03,2.58,4.29,3.57,2.61,4.31,3.57
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M02,2.44,3.97,3.34,2.55,4.15,3.43
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M01,2.29,3.77,3.12,2.39,3.86,3.21
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M12,2.11,3.38,2.89,2.33,3.66,3.13
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M11,2.06,3.31,2.78,2.28,3.60,3.04
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M10,2.0,3.23,2.74,2.19,3.47,2.93
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M09,2.0,3.16,2.66,2.14,3.32,2.82
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M08,1.99,3.09,2.66,2.12,3.22,2.77
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M07,1.99,3.04,2.61,2.10,3.17,2.71
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M06,1.99,3.08,2.62,2.04,3.12,2.66
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M05,1.96,3.0,2.55,1.98,3.05,2.58
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M04,1.95,2.96,2.53,1.98,2.97,2.55
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M03,1.92,2.9,2.50,1.94,2.92,2.55
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M02,1.9,2.95,2.54,1.93,3.03,2.58
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M01,1.9,3.01,2.52,1.95,3.10,2.56
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M12,1.88,3.04,2.47,1.95,3.09,2.51
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M11,1.9,3.0,2.41,1.95,3.06,2.49
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M10,1.89,3.04,2.45,1.97,3.08,2.54
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M09,1.91,3.07,2.45,1.99,3.18,2.52
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M08,1.93,3.03,2.39,2.03,3.15,2.48
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M07,1.92,2.98,2.35,2.00,3.09,2.46
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M06,1.89,2.93,2.31,1.94,2.99,2.39
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M05,1.84,2.92,2.34,1.90,3.01,2.45
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M04,1.76,2.81,2.31,1.81,2.85,2.38
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M03,1.7,2.69,2.25,1.72,2.71,2.28
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M02,1.67,2.64,2.21,1.70,2.62,2.22
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M01,1.61,2.5,2.08,1.69,2.60,2.18
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M12,1.58,2.46,2.08,1.65,2.54,2.19
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M11,1.56,2.47,2.11,1.61,2.50,2.21
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M10,1.55,2.44,2.12,1.60,2.48,2.17
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M09,1.52,2.41,2.10,1.53,2.45,2.13
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M08,1.51,2.47,2.17,1.52,2.41,2.13
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M07,1.51,2.43,2.15,1.52,2.43,2.13
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M06,1.51,2.44,2.17,1.52,2.40,2.14
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M05,1.51,2.46,2.16,1.52,2.44,2.14
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M04,1.52,2.48,2.19,1.53,2.43,2.12
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M03,1.52,2.45,2.12,1.56,2.40,2.06
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M02,1.51,2.44,2.06,1.52,2.37,2.03
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M01,1.46,2.31,1.96,1.49,2.30,1.96
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M12,1.44,2.27,1.91,1.46,2.27,1.96
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M11,1.43,2.29,1.96,1.43,2.28,1.98
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M10,1.43,2.27,1.99,1.45,2.25,1.92
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M09,1.43,2.23,1.87,1.45,2.22,1.85
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M08,1.43,2.25,1.82,1.45,2.24,1.85
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M07,1.43,2.19,1.84,1.45,2.17,1.81
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M06,1.42,2.1,1.74,1.44,2.08,1.75
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M05,1.42,2.08,1.79,1.44,2.13,1.84
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M04,1.42,2.18,1.91,1.44,2.18,1.95
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M03,1.43,2.15,1.94,1.45,2.21,1.95
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M02,1.43,2.24,1.95,1.45,2.28,1.99
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M01,1.43,2.31,2.09,1.46,2.33,2.08
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M12,1.44,2.33,2.10,1.46,2.37,2.14
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M11,1.44,2.39,2.15,1.46,2.38,2.14
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M10,1.45,2.35,2.15,1.47,2.37,2.13
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M09,1.46,2.38,2.13,1.48,2.40,2.10
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M08,1.47,2.48,2.10,1.48,2.42,2.09
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M07,1.46,2.39,2.06,1.48,2.38,2.04
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M06,1.44,2.36,2.02,1.47,2.34,2.01
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M05,1.41,2.17,1.92,1.44,2.15,1.92
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M04,1.38,2.03,1.82,1.42,2.03,1.86
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M03,1.35,1.92,1.75,1.40,1.98,1.80
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M02,1.31,1.88,1.67,1.35,1.92,1.72
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M01,1.24,1.79,1.64,1.30,1.89,1.72
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M12,1.19,1.79,1.62,1.22,1.85,1.61
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M11,1.17,1.79,1.48,1.20,1.90,1.55
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M10,1.14,1.93,1.52,1.17,2.03,1.62
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M09,1.11,2.0,1.60,1.14,2.10,1.69
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M08,1.08,2.04,1.62,1.11,2.12,1.66
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M07,1.04,2.07,1.64,1.06,2.09,1.66
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M06,1.01,1.99,1.57,1.05,2.02,1.61
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M05,0.99,1.95,1.55,1.01,1.97,1.57
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M04,0.98,1.9,1.54,0.97,1.96,1.55
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M03,0.98,1.95,1.52,0.99,1.96,1.52
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M02,0.97,1.87,1.43,0.99,1.93,1.45
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M01,0.97,1.91,1.42,0.99,1.94,1.43
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M12,0.96,1.94,1.40,0.99,2.01,1.44
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M11,0.95,1.98,1.40,0.98,2.02,1.42
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M10,0.94,1.92,1.35,0.97,1.95,1.35
