Dataset,Source,Scraped Date,Indicator,Month,Consumer Price Index and Inflation
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2020M01,86.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M12,84.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M11,84.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M10,84.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M09,83.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M08,83.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M07,83.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M06,83.2
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M05,82.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M04,81.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M03,80.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M02,80.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2019M01,79.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M12,78.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M11,78.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M10,78.2
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M09,77.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M08,77.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M07,77.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M06,77.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M05,76.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M04,76.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M03,76.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M02,75.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2018M01,75.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M12,74.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M11,73.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M10,73.0
