Dataset,Source,Scraped Date,Month,Capital adequacy ratio,Core liquid assets to short-term liabilities,Core liquid assets to total assets,Non performing loan ratio,Operational cost/income,Return on assets,Return on equity,Total cost to gross income ratio
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M02,19.7,30.9,23.5,20.0,40.3,4.0,32.2,71.8
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M01,17.4,33.4,25.2,19.7,39.4,5.2,31.0,72.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M12,18.2,34.5,26.3,16.2,55.4,2.8,17.5,90.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M11,17.1,33.1,25.0,13.6,51.1,4.1,20.2,83.8
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M10,15.6,35.2,26.6,13.6,53.2,3.2,20.5,87.8
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M09,15.4,31.3,24.0,13.2,51.0,3.2,19.8,83.6
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M08,14.0,31.2,24.1,12.8,58.5,2.6,14.8,92.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M07,14.7,32.7,25.1,11.4,53.0,3.3,23.7,86.3
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M06,14.5,30.8,23.6,9.8,53.9,3.8,24.8,86.4
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M05,14.3,31.6,24.1,11.0,54.4,3.3,19.2,87.7
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M04,13.3,30.8,23.4,10.3,52.6,3.7,21.2,85.5
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M03,14.6,29.7,22.6,9.6,52.7,3.4,21.6,86.3
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M02,14.8,29.5,21.8,8.1,48.8,3.7,22.5,85.8
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M01,14.9,30.3,22.2,8.0,49.2,5.4,32.9,81.2
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M12,13.8,33.5,25.2,7.7,58.6,3.2,23.7,86.9
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M11,13.5,31.0,22.8,7.9,58.2,3.4,24.1,85.4
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M10,13.2,29.5,21.9,7.5,59.4,3.3,22.5,85.9
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M09,13.9,33.7,25.2,7.6,58.2,3.5,26.0,84.4
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M08,14.3,31.1,23.7,7.4,59.6,3.4,24.4,85.3
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M07,14.4,30.4,23.0,7.9,60.1,3.2,23.0,85.6
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M06,13.8,29.9,22.3,8.7,64.2,2.6,18.0,90.0
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M05,14.2,29.3,22.1,8.8,61.2,2.7,19.3,87.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M04,14.5,31.1,22.8,8.7,59.4,3.2,22.8,84.6
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M03,15.4,29.5,21.9,8.7,56.9,3.7,26.2,82.6
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M02,14.9,29.9,21.8,8.4,49.6,3.8,26.3,70.5
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M01,15.3,31.3,23.2,6.8,54.5,4.8,32.9,80.6
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M12,15.7,31.3,23.3,6.9,59.1,3.7,25.8,83.9
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M11,15.2,29.8,21.8,6.8,58.2,3.9,28.3,83.7
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M10,14.9,31.5,22.5,6.6,59.0,3.8,26.4,83.7
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M09,14.8,30.7,22.0,6.1,59.7,3.8,27.4,83.8
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M08,15.0,33.2,23.0,6.8,57.8,4.0,29.5,81.9
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M07,14.5,32.5,22.6,6.7,59.7,3.7,24.4,84.4
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M06,15.2,31.0,23.2,7.0,65.6,3.0,16.7,89.0
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M05,14.9,31.5,23.6,7.4,57.9,4.3,28.6,80.9
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M04,15.3,29.4,21.7,6.8,54.0,3.6,23.2,74.5
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M03,16.9,26.6,19.4,6.9,58.5,4.2,26.9,81.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M02,16.6,27.8,20.9,7.3,58.6,3.7,23.1,80.5
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M01,16.9,28.1,21.1,7.5,61.6,4.8,28.1,84.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M12,15.8,31.8,23.5,7.9,61.2,4.8,27.4,81.0
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M11,15.8,29.8,21.9,10.6,62.3,4.7,25.8,82.5
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M10,15.8,29.2,21.4,11.0,62.9,4.4,24.0,82.6
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M09,16.9,27.0,19.7,11.0,62.0,4.7,25.3,81.5
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M08,16.9,28.5,21.0,11.7,63.3,4.6,25.3,82.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M07,16.9,26.9,19.7,12.3,63.2,4.5,24.7,82.2
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M06,15.5,28.7,21.2,12.7,63.5,4.6,24.8,82.0
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M05,15.5,29.2,21.1,12.1,62.0,4.8,27.6,80.5
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M04,15.5,27.9,20.6,12.7,62.6,4.6,26.3,81.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M03,16.0,28.8,21.0,12.9,63.8,4.3,24.1,82.3
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M02,16.0,26.8,19.7,12.8,62.3,4.0,21.8,81.7
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M01,16.0,28.6,20.3,12.3,62.3,4.5,25.3,81.4
