Dataset,Source,Scraped Date,Month,Producer Price Index,Year-on-year PPI change (%),Month-on-month PPI change (%)
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M01,96.8,14.5,1.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M12,95.3,13.0,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M11,93.9,9.9,0.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M10,93.6,8.9,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M09,92.2,9.1,-0.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M08,92.6,10.2,1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M07,91.5,8.8,1.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M06,89.9,7.1,1.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M05,88.4,6.7,0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M04,88.2,7.1,0.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M03,87.4,7.1,1.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M02,86.3,5.4,2.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2019M01,84.6,3.4,0.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M12,84.4,4.4,-1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M11,85.4,6.5,-0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M10,85.9,7.2,1.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M09,84.5,5.8,0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M08,84.0,7.0,-0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M07,84.1,8.2,0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M06,83.9,7.7,1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M05,82.9,7.1,0.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M04,82.4,6.4,0.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M03,81.6,3.7,-0.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M02,81.9,5.5,0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2018M01,81.8,7.7,1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M12,80.8,8.7,0.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M11,80.2,7.1,0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M10,80.1,8.3,0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M09,79.9,7.5,1.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M08,78.6,6.6,1.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M07,77.8,2.0,-0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M06,77.9,3.2,0.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M05,77.4,3.7,-0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M04,77.4,4.4,-1.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M03,78.7,6.0,1.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M02,77.6,5.4,2.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2017M01,75.9,3.1,2.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M12,74.4,4.8,-0.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M11,74.9,11.9,1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M10,74.0,9.7,-0.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M09,74.3,9.7,0.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M08,73.7,11.0,-3.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M07,76.2,10.4,1.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M06,75.5,7.6,1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M05,74.6,11.0,0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M04,74.1,11.2,-0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M03,74.2,14.3,0.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M02,73.6,14.5,0.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2016M01,73.6,16.9,3.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M12,70.9,11.0,6.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M11,66.9,3.0,-0.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M10,67.4,2.9,-0.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M09,67.8,4.8,2.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M08,66.4,3.9,-3.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M07,69.0,10.2,-1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M06,70.1,23.1,4.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M05,67.2,18.8,0.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M04,66.7,19.5,2.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M03,64.9,19.2,0.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M02,64.3,21.8,2.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2015M01,63.0,22.8,-1.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M12,63.9,33.4,-1.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M11,64.9,37.6,-0.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M10,65.5,40.1,1.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M09,64.7,47.0,1.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M08,63.9,48.6,1.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M07,62.7,47.2,10.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M06,57.0,33.1,0.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M05,56.5,33.0,1.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M04,55.8,31.3,2.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M03,54.4,27.8,3.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M02,52.8,27.1,2.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2014M01,51.3,23.3,7.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M12,47.9,15.3,1.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M11,47.2,13.0,0.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M10,46.7,11.6,6.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M09,44.0,5.8,2.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M08,43.0,4.7,1.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M07,42.6,5.0,-0.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M06,42.8,7.0,0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M05,42.5,8.3,0.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M04,42.5,10.2,-0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M03,42.6,10.6,2.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M02,41.5,9.1,-0.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2013M01,41.6,11.5,0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M12,41.6,17.1,-0.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M11,41.7,15.8,-0.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M10,41.9,19.1,0.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M09,41.6,16.8,1.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M08,41.1,17.8,1.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M07,40.5,19.0,1.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M06,40.0,19.2,1.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M05,39.2,17.4,1.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M04,38.6,15.8,0.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M03,38.5,16.2,1.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M02,38.1,16.1,2.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2012M01,37.3,15.0,5.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M12,35.5,13.6,-1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M11,36.0,17.9,2.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M10,35.2,16.4,-1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M09,35.6,19.6,2.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M08,34.9,17.2,2.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M07,34.1,13.9,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M06,33.5,12.0,0.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M05,33.4,23.2,0.3
