Dataset,Source,Scraped Date,Month,Producer Price Index All industries,Producer Price Index Mining and quarrying,Producer Price Index Mining and quarrying (excluding petroleum)*,Producer Price Index Manufacturing,Producer Price Index Electricity and gas,"Producer Price Index Water supply, sewerage, waste management","Producer Price Index Water collection, treatment and supply*",Producer Price Index Construction,Producer Price Index Transportation and storage,Producer Price Index Accommdation and food service,Producer Price Index Information and communication,Year-on-year PPI change (%) All industries,Year-on-year PPI change (%) Mining and quarrying,Year-on-year PPI change (%) Mining and quarrying (excluding petroleum)*,Year-on-year PPI change (%) Manufacturing,Year-on-year PPI change (%) Electricity and gas,"Year-on-year PPI change (%) Water supply, sewerage, waste management","Year-on-year PPI change (%) Water collection, treatment and supply*",Year-on-year PPI change (%) Construction,Year-on-year PPI change (%) Transportation and storage,Year-on-year PPI change (%) Accommdation and food service,Year-on-year PPI change (%) Information and communication,Month-on-month PPI change (%) All industries,Month-on-month PPI change (%) Mining and quarrying,Month-on-month PPI change (%) Mining and quarrying (excluding petroleum)*,Month-on-month PPI change (%) Manufacturing,Month-on-month PPI change (%) Electricity and gas,"Month-on-month PPI change (%) Water supply, sewerage, waste management","Month-on-month PPI change (%) Water collection, treatment and supply*",Month-on-month PPI change (%) Construction,Month-on-month PPI change (%) Transportation and storage,Month-on-month PPI change (%) Accommdation and food service,Month-on-month PPI change (%) Information and communication
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M05,21.0,..,9.4,26.3,17.4,..,20.9,..,..,..,..,37.5,..,41.4,32.7,52.9,..,34.1,..,..,..,..,2.9,..,-3.7,5.3,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M04,20.4,..,9.7,25.0,17.4,..,20.9,..,..,..,..,35.7,..,44.8,28.8,56.5,..,93.0,..,..,..,..,1.2,..,-0.4,2.4,-0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M03,20.2,..,9.8,24.4,17.4,..,20.9,..,..,..,..,38.4,..,56.6,29.3,56.6,..,93.0,..,..,..,..,3.5,..,4.6,4.5,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M02,19.5,..,9.3,23.3,17.4,..,20.9,..,..,..,..,34.5,..,47.1,25.3,56.4,..,93.0,..,..,..,..,2.4,..,7.8,1.8,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M01,19.1,..,8.7,22.9,17.4,..,20.9,..,..,..,..,30.2,..,44.1,20.4,56.4,..,93.0,..,..,..,..,0.6,..,5.7,0.0,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M12,18.9,..,8.2,22.9,17.4,..,20.9,..,..,..,..,32.6,..,53.6,21.2,56.4,..,93.0,..,..,..,..,3.1,..,0.5,4.2,2.0,..,34.1,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M11,18.4,..,8.2,22.0,17.1,..,15.6,..,..,..,..,32.0,..,59.2,19.7,53.3,..,43.9,..,..,..,..,10.5,..,15.9,4.0,29.9,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M10,16.6,..,7.0,21.1,13.1,..,15.6,..,..,..,..,20.7,..,41.2,16.1,18.0,..,43.9,..,..,..,..,2.5,..,3.1,2.3,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M09,16.2,..,6.8,20.7,13.1,..,15.6,..,..,..,..,15.3,..,35.3,10.2,17.9,..,43.9,..,..,..,..,0.6,..,5.6,-0.4,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M08,16.1,..,6.5,20.8,13.1,..,15.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.9,..,0.5,2.6,8.5,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M07,15.7,..,6.4,20.2,12.1,..,15.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9,..,-0.1,1.0,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M06,15.5,..,6.4,20.0,12.1,..,15.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5,..,-2.7,1.1,6.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M05,15.3,..,6.6,19.8,11.4,..,15.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5,..,-1.5,2.2,2.4,..,43.9,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M04,15.1,..,6.7,19.4,11.1,..,10.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.3,..,7.7,2.8,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M03,14.6,..,6.2,18.9,11.1,..,10.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6,..,-1.8,1.3,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M02,14.5,..,6.4,18.6,11.1,..,10.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.8,..,5.7,-2.2,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M01,14.6,..,6.0,19.0,11.1,..,10.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,12.7,0.7,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M12,14.3,..,5.3,18.9,11.1,..,10.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,4.1,2.9,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M11,13.9,..,5.1,18.4,11.1,..,10.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,2.8,0.9,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M10,13.8,..,5.0,18.2,11.1,..,10.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2.2,..,-1.2,-2.9,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M09,14.1,..,5.0,18.8,11.1,..,10.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
