category,title,price_ghs,condition,tags,region,area,location,price_outlier_flag,url,source,scraped_date
Vehicles,235/55r19 Good Year Quality Tyres,2350.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgKxtS4UJhx1fCAvcvZFUKAd0D-235-55r19-good-year-quality-tyres.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Toyota All Black Rims,5000.0,Brand New,Brand New,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCh3BSiLhTPp7QFLyt6BgJxQqlU-toyota-all-black-rims.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Home Used Benz Rim Available,3000.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgGXUB6jeCywKJBzYZ8VBXv44E-home-used-benz-rim-available.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Rim In All Sizes And All Cars,1500.0,Brand New,Brand New,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgHOX2ExhkFIglQby6j1IfPGUp-rim-in-all-sizes-and-all-cars.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Brand New Original Toyota Rav4 Rim,5500.0,Brand New,Brand New,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgzSABkbEA9bU0Hjjt77o2syYZ-brand-new-original-toyota-rav4-rim.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Dv Number Plate With 1 Year Insurance,1050.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgiWoiP58Q3xreDmy9sbgTm0cp-dv-number-plate-with-1-year-insurance.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,"Elantra 2014,2015,2016 Foglight",650.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCglIccqlWUi6tuORhOrOf7ymwF-elantra-2014-2015-2016-foglight.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Original Toyota Corolla Home Used Rim 16,1400.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgYnBylCDanW4iR680TSgbmip4-original-toyota-corolla-home-used-rim-16.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,3w Floor Mat,1600.0,Brand New,Brand New,Greater Accra,Dzorwulu,"Greater Accra, Dzorwulu",False,https://tonaton.com/a-MfYFNdCgg585lZK0gwehcyjV7r0pGhgH-3w-floor-mat.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Original Laylong 275/45 R21 Tyres Available for All Cars,2600.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCghp7dutQf8aSV5QX8wXMinNgE-original-laylong-275-45-r21-tyres-available-for-all-cars.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Original Used Honda Rims,1800.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgCuBGNZ9UalbE5eZ8tQT2qmPa-original-used-honda-rims.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Home Used Toyota Corolla Rim,3500.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgtJz6kB8qPn1XbNayt8DRCNot-home-used-toyota-corolla-rim.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Universal Front Bumper Lip Guard Spoiler Type A,350.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgAcjbl4XvmUhLXVfJftLc54IU-universal-front-bumper-lip-guard-spoiler-type-a.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,BBS Rims Available for All Cars,2500.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgikaxCi37oweMvRuV08GXaLzK-bbs-rims-available-for-all-cars.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Hyundai Santa Fe Fog Light and Cover 2010 to 2012,1000.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgh8ipEw0vGvbeKA52XFDjiqNE-hyundai-santa-fe-fog-light-and-cover-2010-to-2012.html,Tonaton Ghana (tonaton.com),2026-04-20
