category,title,price_ghs,condition,tags,region,area,location,price_outlier_flag,url,source,scraped_date
"Home, Furniture & Appliances",2.0 Hp Mitsubishi,2499.0,Used,"Used, No",Ashanti,Atwima Nwabiagya,"Ashanti, Atwima Nwabiagya",False,https://tonaton.com/a-MfYFNdCgjeGNhiN30Q6yfsQrFQwhbFXW-2-0-hp-mitsubishi.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Volcano 60×60 4 Burner Gas Cooker With Oven and Grill,3200.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgj5P3wv2Z8XdINUI0XyizGa24-volcano-60x60-4-burner-gas-cooker-with-oven-and-grill.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Galaxy 85ltr Table Top Double Door Refrigerators,1399.0,Brand New,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",False,https://tonaton.com/a-MfYFNdCgHQlgfAupd5ybWKmtkegl0CMS-galaxy-85ltr-table-top-double-door-refrigerators.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Pure Black Color Volcano 4 Burner All Gas Cooker(Oven),1599.0,Brand New,Brand New,Greater Accra,Circle,"Greater Accra, Circle",False,https://tonaton.com/a-MfYFNdCgCrToOK0BB6Iw1vdTOKgs8XH3-pure-black-color-volcano-4-burner-all-gas-cooker-oven.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Glade Paper Air Freshener,15.0,,,Greater Accra,Lapaz,"Greater Accra, Lapaz",False,https://tonaton.com/a-MfYFNdCgGbPLx5urkYTDFNkCULZ96Yy7-glade-paper-air-freshener.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Roch Live Smart Refrigerator Brand New,3600.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgxDMsis7jKJWA0x6Mhn5uTpuC-roch-live-smart-refrigerator-brand-new.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Foldable Drying Rack (Extendable),300.0,,,Greater Accra,Adenta,"Greater Accra, Adenta",False,https://tonaton.com/a-MfYFNdCgsptALD5JYucfumvN2vJXeN5n-foldable-drying-rack-extendable.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Buy New Oven Quality Expert Avolcano Export Cookers,1750.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgdPSRANgLoLorj8TvyD713kmd-buy-new-oven-quality-expert-avolcano-export-cookers.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Quality Sublimation Mug 11oz,13.0,,,Greater Accra,Kasoa,"Greater Accra, Kasoa",False,https://tonaton.com/a-MfYFNdCgjEE28CnvNLhiZpluzgEn1qJX-quality-sublimation-mug-11oz.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Woolen Carpet,240.0,,,Greater Accra,Adabraka,"Greater Accra, Adabraka",False,https://tonaton.com/a-MfYFNdCgAcMLGbGHjy0yjN4DcQyHh43a-woolen-carpet.html,Tonaton Ghana (tonaton.com),2026-04-20
