Category,Title,Price GHS,Price Raw,Period,Condition,Tags,Region,Area,Location,URL,Source,Scraped Date
Commercial Equipment & Tools,Shop the Best Display Fridge PVC-316 Single Door,4999.0,"GH₵ 4,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgcjROANbhq9s61Kno8c0jhe5p-shop-the-best-display-fridge-pvc-316-single-door.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,"Original Pearl Pearl PVC 622,500L Double Door Display Fridge",12999.0,"GH₵ 12,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgmMWKUdFlz4ZC9J611ChVbpov-original-pearl-pearl-pvc-622-500l-double-door-display-fridge.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,3doors Tempered Glass Pearl Display Fridge White,12499.0,"GH₵ 12,499",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgc48zGmLfv0A82aFrVwar8ymg-3doors-tempered-glass-pearl-display-fridge-white.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Brand New Legacy Double Door Fridge LGYDF-753,16999.0,"GH₵ 16,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCglvG2vJazL0Xq6YyZ3ruJbjeM-brand-new-legacy-double-door-fridge-lgydf-753.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Greenlife Orthopaedic Pack,350.0,GH₵ 350,,,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgDIKxhADpNtbh8kAIYSikaOJ5-greenlife-orthopaedic-pack.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Car Balancer And Tyre Changer,110000.0,"GH₵ 110,000",,,,Greater Accra,Ga South Municipal,"Greater Accra, Ga South Municipal",https://tonaton.com/a-MfYFNdCgLklkzKeodmkvCehxGqy40h9j-car-balancer-and-tyre-changer.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Very Strong Display Fridge Single Door Pearl PVC-28,6499.0,"GH₵ 6,499",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgAdbkmNs3M9WyVVKpPjvOYbpS-very-strong-display-fridge-single-door-pearl-pvc-28.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Microscope Yaxun Ak33,4500.0,"GH₵ 4,500",,,,Greater Accra,Circle,"Greater Accra, Circle",https://tonaton.com/a-MfYFNdCgbuVmkbmggbgvSgJ5RdVLyjfN-microscope-yaxun-ak33.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Constant Luggage Scale,150.0,GH₵ 150,,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgXUeyVL8DeeKv8pGhzXPKU1g0-constant-luggage-scale.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Floor Marking Tape,250.0,GH₵ 250,,,,Greater Accra,Spintex,"Greater Accra, Spintex",https://tonaton.com/a-MfYFNdCh3K7VqvHemvMbcjeMr5Eb71Ho-floor-marking-tape.html,Tonaton Ghana (tonaton.com),2026-05-04
